Date,ACS,ACX,AMS,ANA,BBVA,BKT,CABK,COL,ELE,ENG,FDR,FER,GRF,IAG,IBE,IDR,ITX,LOG,MAP,MRL,MTS,NTGY,RED,REP,ROVI,SAB,SAN,SCYR,SLR,TEF
2015-01-02,-1.1102230246251565e-16,0.01276442136081932,-0.007277105100531732,0.004920037688799436,-0.009800313089561375,0.01586521000865729,0.020157490913758336,0.03747093811022432,-0.014819645194507826,-0.015314220434778775,0.0033277869243214537,-0.008523722557462986,-0.004920636470485091,-0.005776828226229051,-0.009249366746662468,0.017923375715052647,-0.008998706878999889,0.016150046676643083,-1.1102230246251565e-16,0.0009808727432178937,-0.01760417959536928,0.005495164569151206,-0.0013689047334850353,-0.011494399025978158,-0.022428979184371152,0.03260205470149149,-0.007650929895153236,-0.029081142515008512,0.006825958405077651,-0.009629593445359935
2015-01-05,-0.015636192270261338,-0.00836828910482841,-0.008769957035338958,-0.026543874336016317,-0.03706530956144098,-0.039547383777297745,-0.039697844323956184,0.005314402777517633,-0.024434040337974926,-0.02046914385559269,-0.020134889076731378,-0.002761166180831796,-0.004863966253371432,0.022945418984005345,-0.00977912581697607,-0.02185947479443859,-0.02195053642650318,-0.03931013450950986,-0.03409626007913915,0.009852186137904716,-0.03501975299490501,-0.039652747027870125,-0.02105627969598253,-0.050866896106704175,-0.011928559556882717,-0.034401245324072016,-0.04002280053758783,-0.04359348783619071,0.0,-0.024936815138108526
2015-01-06,-0.02242529187569323,-0.012062918522107302,0.007078027281556491,-0.02278418000858058,-0.023215171689167244,-0.032171936097620486,-0.02191673333403014,-0.010714377720471523,-0.007983436805140031,-0.015157891843651542,-0.03098359836372051,-0.012349694882839017,-0.02755081301499581,-0.038037190836574857,-0.011445256437356697,-0.022614067236344428,-0.0168218158726686,0.0017517539835426926,-0.007690903530939415,-0.004938172903500433,-0.005292795819115522,-0.01405296321017135,-0.01159627654655699,-0.005799097907068993,-0.011060912645294643,-0.032112679776098024,-0.022051508363724638,-0.004098551814616393,-0.006734025694352127,-0.01527409969821804
2015-01-07,-0.0007099591813122978,-0.013726503220371231,-0.007371092416156843,0.0016488077556444038,-0.007332854483389882,-0.015417198120699123,-0.014501590045180158,0.026763349036716223,0.0,0.005996404794365114,-0.006802740702695957,0.00030873310304022186,-0.00575299346930541,-0.006330605509528019,-0.004927457754521482,-0.01847068412941656,0.005897071669843013,-0.01108209297699552,0.009820028014712587,0.03522857289587033,-0.009082031127428605,-0.011648723813957332,-0.013816598241081845,2.2204460492503128e-16,0.021956996613288645,-0.02806554855605552,-0.0022581997249167397,-0.009194599090998784,0.0068728725305045495,-0.004385973984391279
2015-01-08,0.006102310486773378,-0.000803231290980109,-0.0025968974793414055,0.031664464104491336,-0.0075143301790986826,-0.002002058812644263,-0.0070522648115641795,0.006993029078342606,0.006606885303389464,-0.003959632218284483,-0.03395908892021973,0.004270884919654468,0.00015398562936935525,-0.02894044356050887,0.00611841397072391,0.005804433216650159,0.025408962248350847,-0.01773091579674876,0.007812481528244325,0.013905756542732496,0.029819172850012243,0.015014918842595726,0.008923642299961065,0.007330963156231344,-0.008871344438875902,-0.011592609218307782,0.011146939690832445,0.01776939574521618,0.013423007444649979,0.010782901311658398
2015-01-09,-0.0038514922467828287,0.014797344084792365,0.008934775401757553,-0.003364962723377201,-0.024429345716662523,-0.003740495808084904,-0.007178717998783285,0.003546099558958382,0.002481329341531236,0.0031771244265476417,0.0034542314543865057,0.0006095842337263057,-0.006190917354393242,-0.01130337701889034,-0.003985569203562323,-0.011259496286503582,-0.018155462369762853,-0.00298949316336976,-0.010710552727244626,-0.0019083967374528834,-0.019896643845747852,-0.011224572938820246,0.004584958890650955,-0.03623215686511819,0.000984759227271231,-0.013282859859268203,-0.046604991684528176,-0.008862692707686992,-0.006688981750297861,-0.02263920112352843
2015-01-12,-0.010188045690409382,-0.009918748278887913,0.01356705151717115,0.0033589464077379678,-0.0037884438009927026,-0.006672473135638246,-0.0062097224007066016,-0.008857487652936176,0.004606110054374058,-0.012521301650160415,0.013698830935582138,0.008749517622025284,0.00030942416316153743,-0.00399879406819155,-0.006513547923421866,-0.027757910193250995,-0.0012692525083014355,-0.010188884789097222,-0.006835807641727093,-0.005266947986053572,-0.029866828604815918,-0.03585535307531389,-0.010248053994979849,-0.016859156519448925,0.02090668945104923,-0.004739076978770395,0.00829870944143359,0.01315578233199884,0.0,0.007877421670955318
2015-01-13,0.03958160740152876,0.023876994987225467,0.0022214230677226605,0.04113512262898326,0.015353816005992536,0.028214163510637935,0.0014447490578456436,0.030011092088789708,-0.0009244367956036319,0.02958795674018804,0.0,0.0366797018588589,0.016669653105106673,0.047728688163790604,0.008518389884828987,0.032196208677022026,0.03088725377172101,0.010746390295459918,0.02464850738952733,0.00381679695008149,0.002593992478361859,0.022501892231900574,0.00694736699454217,0.023172403845631573,0.0019626604903779277,0.059341378672639424,0.02186336437966533,0.02211768207861076,0.013333518153242435,0.028158642807661123
2015-01-14,0.00807082483490239,-0.04120510356874208,0.005682642172470721,0.026042253557750965,0.0023008363109756898,0.0046153264344167624,-0.004399940264231077,-0.021353104539944528,0.012676003896614945,0.01890336705495574,0.0068728725305045495,0.019548455938611202,0.010617972109915998,0.00160348005020637,0.0020093451863112924,-0.02594513236778454,0.02014455684015407,0.0184584801243549,-0.003219485233843719,0.008624974366374081,-0.04858160488332732,-0.01603821975375886,0.011849390700528305,-0.0027797072953467043,0.004890003993688246,0.02216771995676054,-0.0013438793697231003,-0.006363089822252073,-0.006688981750297861,0.004752615907104229
2015-01-15,0.017163439873287535,-0.008701073435905345,0.004139550290637297,0.009518310331595248,-0.00013352841534136801,0.009243141665238451,0.0019379601420238706,-0.017953786708784756,0.004860272235849274,-0.0007669626669853227,-0.0017226105775095934,0.01594570687967441,0.008318932790174156,0.011292470756643512,0.0029001780269291262,0.01383969258495593,-0.01805138528316226,-0.01422666394120328,0.008507647769594241,-0.005730672339525536,0.002957117176107424,0.020355577192060135,0.0019281012511103938,0.005396298068707728,0.019380432743474906,0.004842296866536827,-0.00016587453990966279,0.024692932834934487,0.10071395621974354,0.006808540293302975
2015-01-16,0.022335241003422608,0.008773859841447679,0.011183399638814352,0.019151977442118228,0.010812339162841227,-0.0016838812628028567,0.01163928289923003,0.033962165956134126,0.022479590746373967,0.015132883401569906,0.0017226105775096558,0.0014214426112993685,0.010751963747065487,0.01248261476777263,0.016588914057424995,0.005533079887344788,0.009216670947288555,-0.06777531174088892,0.02173991575233276,0.014211507632087957,0.027710659038695303,0.009557162893900331,0.010036459051898754,0.02530938409360896,0.009578562434443808,0.00704262232001832,-0.0023267327281840363,0.0039771491513675514,0.0,0.013061032221642465
2015-01-19,0.01711653537803521,0.00991742727735285,0.0029940827744502356,0.004225559978794142,0.008662606356242995,0.020254599644265427,0.010944674006890899,0.020870302820644466,0.0008854241036326827,0.01154551711827908,0.0068259584050778714,0.012713853452205666,0.04492176287379934,-0.0038662660560366377,0.008323776105753267,0.016447693264905708,0.0034402172105169214,0.06130747277920266,0.0013778674262348817,0.01554068787514945,-0.014715791030821403,0.008447458702667979,0.005604603132920722,-0.003596495714668614,-0.0086166311216105,0.012205839240915601,0.005132087974744341,0.021538386952531817,-0.043083545035889834,0.008626098273133702
2015-01-20,-0.015221037302543214,0.01379892678393528,-0.0007460358513783958,-0.005345470374706932,0.01015498135164218,0.007431523864789343,0.02210672749372142,0.001716696037533094,-0.007083904606024592,0.00954620527001348,0.015293361093479221,-0.0008425440656420801,0.006128435384615998,0.029948190082859802,0.0059785512478361,-0.0040080295363256885,0.023891256361007245,0.020262918466402362,-0.0034305317297709257,0.0009358911257307589,0.024870175399741137,-0.000509955597839477,0.006914841854662584,0.010069968960376303,-0.006746984131726657,0.01328518436119058,0.003946130798377176,-0.0026412361158942134,-0.02500127798724656,0.012966229743731171
2015-01-21,0.005464464307792968,0.0024164882268676406,-0.00461489753178858,-0.008058061428841874,0.0008907514082662411,0.011448758016833377,-0.012479916783164837,0.008598537971718516,-0.002952422495231623,-0.002039125944747067,0.023851192569932872,-0.0067339723568613785,0.00056602399140407,-0.011626389991654378,0.004690350018344601,0.0022471480783875,0.017482992578307644,-0.013403053308658408,0.007490615785765416,-0.007476667318082921,0.0020734898059147494,0.02364896228585392,0.002412227218373838,0.008001322677480075,-0.009661855714007026,0.015177138541706298,-0.011834374985565744,0.0023187401698129156,-0.01916997403301815,0.006430893322224784
2015-01-22,0.01730060762100097,0.025965170686881294,0.0005949861219658903,0.005497186850406397,0.008561089169652156,0.000867887842389407,0.008763918434645804,-0.008583694503945494,0.044873721699006545,0.020347152406020447,-0.01709441663795083,0.005346922608585846,-0.00795805246469538,0.037662706836772544,0.02222502906877884,0.02441981673532816,0.004221868065715943,0.0027063662544694446,0.008438820425613164,0.0023282888209014353,0.006073387384753807,0.02718425346936652,0.04273769247723398,0.0065820357517448035,-0.003891051702743572,0.023550301379366118,0.005239808864542793,-0.005187334850486881,0.012987183462619612,0.016594619928527305
2015-01-23,-0.003600217340280561,0.015504171634804168,0.007071381107396706,0.0030368220427655565,-0.011696023108518003,-0.06197673624249346,-0.058874998653533614,0.028888941823038555,-0.012739047788738545,0.014362890597467206,0.015504130497411122,-0.005327325987540886,0.010160985171300657,0.02724743560810013,0.016529286317205256,-0.05913295131438435,0.01324524109098763,-0.00180130262614344,-0.005012576967322016,0.003231119359641245,-0.05853732039254664,0.0024026555692681696,-0.02209184639721338,-0.0021641588963736158,0.029766908959470696,-0.041075737098597735,0.005811929425810077,-0.06181503934074562,-0.03215715749563787,0.01297226254683227
2015-01-26,0.03282552788150844,0.024541085581342322,0.015182675383579187,0.027894016277944186,0.008277923786032128,0.006937668785534651,0.01897043232066326,0.04782444030481212,0.02996271056647069,0.016597156352301662,-0.0034246576656789115,0.01656643689336767,0.03006815808255892,0.031972882765404095,0.01777536579635769,0.004215372306913057,0.015091136070786635,-0.0003011089182869945,0.03683843191295362,-0.008291254393106254,0.0252632583649602,0.019707431437373395,0.006909600094762969,0.015831531457516645,-0.009487773432836829,0.03124546861175346,0.014831849656869359,0.05430512411993464,0.03278979205930277,0.02231135404237707
2015-01-27,-0.00786739150787467,-0.01634086508715295,0.0120882742245639,-0.01770515626130862,-0.008568580763923929,-0.00633268714561265,-0.02733928913384069,-0.027711569450668275,-0.014033348038251016,0.005113312996734078,0.0,-0.0067301954766783405,-0.007506047391342953,0.011694508704345758,-0.0021174389620077076,-0.017808418670947034,-0.010651314401772676,-0.015634727803836186,-0.014431260098374473,-0.013011330741029264,-0.0114827494272864,0.00285857145323378,-0.008210183315281706,0.005236363979207417,-0.01142877575322298,-0.014903328437311398,-0.011326936775130244,-0.02472107388185219,-0.0194180678768161,0.0015032677238670902
2015-01-28,-0.017694013291240138,0.003813901665412569,0.018718466808290455,-0.015338199438719427,-0.04069055956408066,-0.04354330990307587,-0.04752197038945266,-0.0278934570620616,-0.009607311537252868,-0.0033365988005533854,0.02768348499470173,-0.0036553131143485886,0.01608188766432978,-0.005181836544134137,-0.006982206610739372,-0.02329295657574314,-0.016492148340382148,-0.007246459016157071,-0.009881572395062198,0.0009341426140379815,-0.010479943366659753,-0.001181965659342256,-0.005868238390149797,-0.02914027080509591,-0.01591049656615618,-0.0555092817515372,-0.039478700355286125,-0.05271409912838679,-0.006644536402944578,-0.009763434419145374
