funcid,dim,milestone,error
30,30,1,1.641732e+09
30,30,2,1.347809e+09
30,30,3,1.219301e+09
30,30,5,2.083737e+08
30,30,10,5.855152e+07
30,30,20,5.503544e+07
30,30,30,5.105382e+07
30,30,40,4.807015e+07
30,30,50,4.601187e+07
30,30,60,4.391489e+07
30,30,70,3.989521e+07
30,30,80,3.793090e+07
30,30,90,3.574812e+07
30,30,100,3.423255e+07
30,30,1,1.759670e+09
30,30,2,4.803210e+08
30,30,3,2.751472e+08
30,30,5,1.869896e+08
30,30,10,4.332128e+07
30,30,20,3.221365e+07
30,30,30,2.456357e+07
30,30,40,2.324051e+07
30,30,50,2.218835e+07
30,30,60,2.033011e+07
30,30,70,1.825986e+07
30,30,80,1.728739e+07
30,30,90,1.580283e+07
30,30,100,1.486823e+07
30,30,1,3.552532e+09
30,30,2,1.232536e+09
30,30,3,6.449755e+08
30,30,5,2.510253e+08
30,30,10,2.076614e+08
30,30,20,1.680614e+08
30,30,30,1.159646e+08
30,30,40,1.141411e+08
30,30,50,1.102116e+08
30,30,60,1.073912e+08
30,30,70,1.049382e+08
30,30,80,1.028131e+08
30,30,90,1.003509e+08
30,30,100,9.747611e+07
30,30,1,2.335868e+09
30,30,2,1.778731e+09
30,30,3,1.425778e+09
30,30,5,6.702650e+08
30,30,10,3.338839e+08
30,30,20,2.829451e+08
30,30,30,1.734539e+08
30,30,40,1.247093e+08
30,30,50,1.199966e+08
30,30,60,1.177679e+08
30,30,70,1.146307e+08
30,30,80,1.086190e+08
30,30,90,1.027168e+08
30,30,100,9.823735e+07
30,30,1,1.794707e+09
30,30,2,9.425925e+08
30,30,3,5.519782e+08
30,30,5,1.330472e+08
30,30,10,6.827778e+07
30,30,20,3.490970e+07
30,30,30,1.963631e+07
30,30,40,1.910825e+07
30,30,50,1.851297e+07
30,30,60,1.768757e+07
30,30,70,1.670962e+07
30,30,80,1.606408e+07
30,30,90,1.570100e+07
30,30,100,1.501585e+07
30,30,1,1.901298e+09
30,30,2,7.075793e+08
30,30,3,5.184262e+08
30,30,5,2.940257e+08
30,30,10,4.404106e+07
30,30,20,2.313275e+07
30,30,30,2.172398e+07
30,30,40,2.022973e+07
30,30,50,1.870470e+07
30,30,60,1.838888e+07
30,30,70,1.774142e+07
30,30,80,1.718623e+07
30,30,90,1.674416e+07
30,30,100,1.613199e+07
30,30,1,4.353617e+09
30,30,2,2.663011e+08
30,30,3,1.324956e+08
30,30,5,9.138984e+07
30,30,10,8.962627e+07
30,30,20,8.724437e+07
30,30,30,8.611656e+07
30,30,40,8.476747e+07
30,30,50,8.323950e+07
30,30,60,8.167660e+07
30,30,70,8.045552e+07
30,30,80,7.436297e+07
30,30,90,7.230242e+07
30,30,100,7.054931e+07
30,30,1,3.612399e+09
30,30,2,3.356532e+09
30,30,3,1.396736e+09
30,30,5,2.106782e+08
