funcid,dim,milestone,error
30,30,1,2.195063e+06
30,30,2,8.582972e+04
30,30,3,3.593570e+04
30,30,5,3.013200e+04
30,30,10,2.644484e+04
30,30,20,2.644077e+04
30,30,30,2.644073e+04
30,30,40,2.644073e+04
30,30,50,2.644073e+04
30,30,60,2.644073e+04
30,30,70,2.644073e+04
30,30,80,2.644073e+04
30,30,90,2.644073e+04
30,30,100,2.644073e+04
30,30,1,1.308842e+06
30,30,2,8.707382e+04
30,30,3,3.519346e+04
30,30,5,6.994810e+03
30,30,10,4.145512e+03
30,30,20,3.354129e+03
30,30,30,3.353728e+03
30,30,40,3.353710e+03
30,30,50,3.353691e+03
30,30,60,3.353672e+03
30,30,70,3.141986e+03
30,30,80,3.140613e+03
30,30,90,3.137547e+03
30,30,100,3.137534e+03
30,30,1,7.189282e+05
30,30,2,7.675278e+04
30,30,3,5.430890e+04
30,30,5,3.359361e+04
30,30,10,3.201622e+04
30,30,20,3.200191e+04
30,30,30,3.199359e+04
30,30,40,3.198293e+04
30,30,50,3.197502e+04
30,30,60,3.196519e+04
30,30,70,3.195660e+04
30,30,80,3.194468e+04
30,30,90,3.193694e+04
30,30,100,3.192704e+04
30,30,1,2.333676e+06
30,30,2,3.559697e+05
30,30,3,1.901530e+05
30,30,5,1.595033e+05
30,30,10,1.566791e+05
30,30,20,1.472646e+05
30,30,30,1.472637e+05
30,30,40,1.472631e+05
30,30,50,1.472625e+05
30,30,60,1.472621e+05
30,30,70,1.472617e+05
30,30,80,1.472612e+05
30,30,90,1.472609e+05
30,30,100,1.472605e+05
30,30,1,7.707944e+05
30,30,2,1.568637e+05
30,30,3,1.012676e+05
30,30,5,5.630599e+04
30,30,10,3.689006e+04
30,30,20,3.490999e+04
30,30,30,3.432451e+04
30,30,40,3.369780e+04
30,30,50,3.299166e+04
30,30,60,3.299156e+04
30,30,70,3.299156e+04
30,30,80,3.299156e+04
30,30,90,3.299156e+04
30,30,100,3.299156e+04
30,30,1,1.882400e+06
30,30,2,1.422452e+05
30,30,3,1.277350e+05
30,30,5,1.276309e+05
30,30,10,1.275817e+05
30,30,20,1.274952e+05
30,30,30,1.274368e+05
30,30,40,1.273765e+05
30,30,50,1.273239e+05
30,30,60,1.272589e+05
30,30,70,1.272236e+05
30,30,80,1.271664e+05
30,30,90,1.271176e+05
30,30,100,1.270618e+05
30,30,1,3.753151e+06
30,30,2,1.421689e+05
30,30,3,8.510675e+04
30,30,5,3.144186e+04
30,30,10,2.758265e+04
30,30,20,2.135032e+04
30,30,30,2.115709e+04
30,30,40,2.115669e+04
30,30,50,2.115635e+04
30,30,60,2.115611e+04
30,30,70,2.115582e+04
30,30,80,2.115558e+04
30,30,90,2.115533e+04
30,30,100,2.115503e+04
30,30,1,2.042782e+06
30,30,2,3.134408e+05
30,30,3,1.264997e+05
30,30,5,1.106902e+05
30,30,10,1.106854e+05
30,30,20,1.106854e+05
30,30,30,1.106854e+05
30,30,40,1.106854e+05
30,30,50,1.106854e+05
30,30,60,1.106854e+05
30,30,70,1.106854e+05
30,30,80,1.106854e+05
30,30,90,1.106854e+05
30,30,100,1.106854e+05
30,30,1,6.023004e+05
30,30,2,4.033800e+04
30,30,3,2.601119e+04
30,30,5,1.997855e+04
30,30,10,1.884493e+04
30,30,20,1.884355e+04
30,30,30,1.884355e+04
30,30,40,1.884244e+04
30,30,50,1.884223e+04
30,30,60,1.884223e+04
30,30,70,1.884223e+04
30,30,80,1.884223e+04
30,30,90,1.884223e+04
30,30,100,1.884223e+04
30,30,1,1.489553e+06
30,30,2,5.211557e+05
30,30,3,2.717390e+05
30,30,5,2.281175e+05
30,30,10,2.068200e+05
30,30,20,2.063709e+05
30,30,30,2.057711e+05
30,30,40,2.053251e+05
30,30,50,2.047777e+05
30,30,60,2.041758e+05
30,30,70,2.037498e+05
30,30,80,2.032561e+05
30,30,90,2.027356e+05
30,30,100,2.021701e+05
30,30,1,4.830984e+05
30,30,2,2.946680e+04
30,30,3,2.155982e+04
30,30,5,1.951998e+04
30,30,10,1.938034e+04
30,30,20,1.938034e+04
30,30,30,1.938034e+04
30,30,40,1.938034e+04
30,30,50,1.938034e+04
30,30,60,1.938034e+04
30,30,70,1.938034e+04
30,30,80,1.938034e+04
30,30,90,1.938034e+04
30,30,100,1.938034e+04
30,30,1,1.941408e+06
30,30,2,1.556212e+05
30,30,3,1.926864e+04
30,30,5,9.699069e+03
30,30,10,8.132405e+03
30,30,20,7.953682e+03
30,30,30,7.944178e+03
30,30,40,7.933812e+03
30,30,50,7.926428e+03
30,30,60,7.915207e+03
30,30,70,7.905842e+03
30,30,80,7.899375e+03
30,30,90,7.892190e+03
30,30,100,7.883533e+03
30,30,1,4.192871e+06
30,30,2,5.017254e+05
30,30,3,1.372329e+05
30,30,5,1.921616e+04
30,30,10,8.808460e+03
30,30,20,7.786446e+03
30,30,30,5.783377e+03
30,30,40,5.765054e+03
30,30,50,5.762601e+03
30,30,60,5.760764e+03
30,30,70,5.759239e+03
30,30,80,5.757591e+03
30,30,90,5.757024e+03
30,30,100,5.754867e+03
30,30,1,1.643887e+06
30,30,2,1.035011e+05
30,30,3,3.867426e+04
30,30,5,1.323755e+04
30,30,10,3.056629e+03
30,30,20,2.300190e+03
30,30,30,2.061621e+03
30,30,40,2.061553e+03
30,30,50,2.061484e+03
30,30,60,2.061428e+03
30,30,70,2.061371e+03
30,30,80,2.061322e+03
30,30,90,2.061256e+03
30,30,100,2.061197e+03
30,30,1,3.122805e+06
30,30,2,2.018675e+05
30,30,3,3.556126e+04
30,30,5,1.963282e+04
30,30,10,1.589455e+04
30,30,20,1.221507e+04
30,30,30,1.184639e+04
30,30,40,1.184355e+04
30,30,50,1.184102e+04
30,30,60,1.183737e+04
30,30,70,1.183488e+04
30,30,80,1.183234e+04
30,30,90,1.182929e+04
30,30,100,1.182748e+04
30,30,1,9.256910e+05
30,30,2,6.305898e+04
30,30,3,3.017250e+04
30,30,5,1.740189e+04
30,30,10,1.712438e+04
30,30,20,1.707108e+04
30,30,30,1.565754e+04
30,30,40,1.563798e+04
30,30,50,1.562852e+04
30,30,60,1.562724e+04
30,30,70,1.562599e+04
30,30,80,1.561569e+04
30,30,90,1.561166e+04
30,30,100,1.561001e+04
30,30,1,2.247617e+06
30,30,2,1.534118e+05
30,30,3,7.560098e+04
30,30,5,7.230141e+04
30,30,10,7.229991e+04
30,30,20,7.229991e+04
30,30,30,7.229991e+04
30,30,40,7.229991e+04
30,30,50,7.229991e+04
30,30,60,7.229991e+04
30,30,70,7.229991e+04
30,30,80,7.229991e+04
30,30,90,7.229991e+04
30,30,100,7.229991e+04
30,30,1,1.147404e+06
30,30,2,6.944795e+04
30,30,3,3.304234e+04
30,30,5,9.638823e+03
30,30,10,5.369278e+03
30,30,20,4.576229e+03
30,30,30,4.078935e+03
30,30,40,3.924198e+03
30,30,50,3.827920e+03
30,30,60,3.794290e+03
30,30,70,3.766154e+03
30,30,80,3.762747e+03
30,30,90,3.719042e+03
30,30,100,3.716337e+03
30,30,1,9.246357e+05
30,30,2,5.048626e+04
30,30,3,9.697065e+03
30,30,5,8.455768e+03
30,30,10,8.444289e+03
30,30,20,8.431733e+03
30,30,30,8.419868e+03
30,30,40,8.413657e+03
30,30,50,8.404417e+03
30,30,60,8.398078e+03
30,30,70,8.391342e+03
30,30,80,8.382071e+03
30,30,90,8.371923e+03
30,30,100,8.364133e+03
30,30,1,7.076565e+05
30,30,2,6.514100e+04
30,30,3,2.210912e+04
30,30,5,1.008548e+04
30,30,10,9.178915e+03
30,30,20,8.439769e+03
30,30,30,8.439424e+03
30,30,40,8.439167e+03
30,30,50,8.438909e+03
30,30,60,8.438813e+03
30,30,70,8.438576e+03
30,30,80,8.438422e+03
30,30,90,8.438237e+03
30,30,100,8.438041e+03
30,30,1,4.035599e+05
30,30,2,4.245068e+04
30,30,3,2.812898e+04
30,30,5,1.892817e+04
30,30,10,1.688898e+04
30,30,20,1.588321e+04
30,30,30,1.522380e+04
30,30,40,1.501106e+04
30,30,50,1.487751e+04
30,30,60,1.475598e+04
30,30,70,1.471029e+04
30,30,80,1.463070e+04
30,30,90,1.460540e+04
30,30,100,1.457648e+04
30,30,1,4.025571e+06
30,30,2,7.080678e+05
30,30,3,4.190296e+05
30,30,5,3.716993e+05
30,30,10,3.695686e+05
30,30,20,3.667949e+05
30,30,30,3.645595e+05
30,30,40,3.630434e+05
30,30,50,3.614394e+05
30,30,60,3.594745e+05
30,30,70,3.584001e+05
30,30,80,3.571155e+05
30,30,90,3.556488e+05
30,30,100,3.544899e+05
30,30,1,1.112822e+06
30,30,2,7.889721e+04
30,30,3,3.957731e+04
30,30,5,1.549523e+04
30,30,10,8.548987e+03
30,30,20,7.585674e+03
30,30,30,6.346292e+03
30,30,40,6.344453e+03
30,30,50,6.343150e+03
30,30,60,6.341879e+03
30,30,70,6.340479e+03
30,30,80,6.339377e+03
30,30,90,6.337970e+03
30,30,100,6.336870e+03
30,30,1,1.168400e+06
30,30,2,8.275522e+04
30,30,3,2.787799e+04
30,30,5,1.063775e+04
30,30,10,6.100286e+03
30,30,20,5.575687e+03
30,30,30,4.865433e+03
30,30,40,4.803158e+03
30,30,50,4.760042e+03
30,30,60,4.744172e+03
30,30,70,4.732316e+03
30,30,80,4.728010e+03
30,30,90,4.711646e+03
30,30,100,4.706749e+03
30,30,1,7.228415e+05
30,30,2,4.366974e+04
30,30,3,3.212992e+04
30,30,5,2.297971e+04
30,30,10,1.942860e+04
30,30,20,1.937504e+04
30,30,30,1.937501e+04
30,30,40,1.937501e+04
30,30,50,1.937501e+04
30,30,60,1.937501e+04
30,30,70,1.937501e+04
30,30,80,1.937501e+04
30,30,90,1.937501e+04
30,30,100,1.937501e+04
30,30,1,8.758923e+05
30,30,2,8.192505e+04
30,30,3,6.374581e+04
30,30,5,3.229178e+04
30,30,10,2.343190e+04
30,30,20,1.978677e+04
30,30,30,1.914169e+04
30,30,40,1.912636e+04
30,30,50,1.903400e+04
30,30,60,1.878740e+04
30,30,70,1.876802e+04
30,30,80,1.876802e+04
30,30,90,1.876802e+04
30,30,100,1.876802e+04
30,30,1,8.910576e+06
30,30,2,2.928259e+05
30,30,3,1.394302e+05
30,30,5,7.238195e+04
30,30,10,5.913439e+04
30,30,20,5.906270e+04
30,30,30,5.901235e+04
30,30,40,5.896601e+04
30,30,50,5.893126e+04
30,30,60,5.889386e+04
30,30,70,5.885238e+04
30,30,80,5.881438e+04
30,30,90,5.877293e+04
30,30,100,5.874246e+04
30,30,1,1.624280e+06
30,30,2,3.859589e+05
30,30,3,2.244732e+05
30,30,5,1.053578e+05
30,30,10,5.881211e+04
30,30,20,5.782918e+04
30,30,30,5.777973e+04
30,30,40,5.774728e+04
30,30,50,5.774053e+04
30,30,60,5.774041e+04
30,30,70,5.774031e+04
30,30,80,5.774025e+04
30,30,90,5.774016e+04
30,30,100,5.774010e+04
30,30,1,1.489458e+06
30,30,2,1.785328e+05
30,30,3,2.345515e+04
30,30,5,1.251777e+04
30,30,10,1.179385e+04
30,30,20,1.100112e+04
30,30,30,1.098843e+04
30,30,40,1.097664e+04
30,30,50,1.096337e+04
30,30,60,1.095157e+04
30,30,70,1.094426e+04
30,30,80,1.093280e+04
30,30,90,1.092443e+04
30,30,100,1.091544e+04
30,30,1,1.341782e+06
30,30,2,8.025612e+04
30,30,3,6.884946e+04
30,30,5,6.849089e+04
30,30,10,6.848663e+04
30,30,20,6.848229e+04
30,30,30,6.847826e+04
30,30,40,6.847439e+04
30,30,50,6.847174e+04
30,30,60,6.846917e+04
30,30,70,6.846633e+04
30,30,80,6.846427e+04
30,30,90,6.846104e+04
30,30,100,6.845828e+04
30,30,1,1.976458e+06
30,30,2,1.396927e+05
30,30,3,8.439724e+04
30,30,5,6.807779e+04
30,30,10,6.511596e+04
30,30,20,6.510122e+04
30,30,30,6.509096e+04
30,30,40,6.508087e+04
30,30,50,6.507426e+04
30,30,60,6.506781e+04
30,30,70,6.505895e+04
