funcid,dim,milestone,error
6,50,1,5.347083e+01
6,50,2,3.556521e+01
6,50,3,3.265517e+01
6,50,5,3.089426e+01
6,50,10,3.033764e+01
6,50,20,2.945565e+01
6,50,30,2.916235e+01
6,50,40,2.916218e+01
6,50,50,2.912621e+01
6,50,60,2.912614e+01
6,50,70,2.912604e+01
6,50,80,2.912596e+01
6,50,90,2.890297e+01
6,50,100,2.890289e+01
6,50,1,4.674879e+01
6,50,2,3.615603e+01
6,50,3,3.280612e+01
6,50,5,3.160888e+01
6,50,10,3.108127e+01
6,50,20,3.101631e+01
6,50,30,3.016366e+01
6,50,40,3.013511e+01
6,50,50,3.012100e+01
6,50,60,2.964732e+01
6,50,70,2.963376e+01
6,50,80,2.856886e+01
6,50,90,2.853141e+01
6,50,100,2.852988e+01
6,50,1,5.607915e+01
6,50,2,4.453420e+01
6,50,3,3.933158e+01
6,50,5,3.458679e+01
6,50,10,3.361111e+01
6,50,20,3.270828e+01
6,50,30,3.270648e+01
6,50,40,3.270599e+01
6,50,50,3.228635e+01
6,50,60,3.228593e+01
6,50,70,3.228555e+01
6,50,80,3.228516e+01
6,50,90,3.188309e+01
6,50,100,3.188300e+01
6,50,1,5.554970e+01
6,50,2,3.980934e+01
6,50,3,3.303291e+01
6,50,5,2.907883e+01
6,50,10,2.850501e+01
6,50,20,2.785545e+01
6,50,30,2.766754e+01
6,50,40,2.766751e+01
6,50,50,2.766749e+01
6,50,60,2.766748e+01
6,50,70,2.708688e+01
6,50,80,2.708686e+01
6,50,90,2.708685e+01
6,50,100,2.708684e+01
6,50,1,3.238016e+01
6,50,2,2.095213e+01
6,50,3,1.755956e+01
6,50,5,1.631987e+01
6,50,10,1.534063e+01
6,50,20,1.501895e+01
6,50,30,1.440754e+01
6,50,40,1.440694e+01
6,50,50,1.425004e+01
6,50,60,1.424998e+01
6,50,70,1.424998e+01
6,50,80,1.424998e+01
6,50,90,1.424998e+01
6,50,100,1.424998e+01
6,50,1,7.031074e+01
6,50,2,5.314332e+01
6,50,3,4.996329e+01
6,50,5,4.895238e+01
6,50,10,4.685687e+01
6,50,20,4.680565e+01
6,50,30,4.678964e+01
6,50,40,4.677799e+01
6,50,50,4.676619e+01
6,50,60,4.660002e+01
6,50,70,4.627237e+01
6,50,80,4.627127e+01
6,50,90,4.627054e+01
6,50,100,4.626966e+01
6,50,1,5.246083e+01
6,50,2,4.207616e+01
6,50,3,3.855601e+01
6,50,5,3.770280e+01
6,50,10,3.700838e+01
6,50,20,3.671890e+01
6,50,30,3.609025e+01
6,50,40,3.608614e+01
6,50,50,3.598768e+01
6,50,60,3.598700e+01
6,50,70,3.598699e+01
6,50,80,3.598699e+01
6,50,90,3.598699e+01
6,50,100,3.598699e+01
6,50,1,4.265970e+01
6,50,2,2.732454e+01
6,50,3,2.316852e+01
6,50,5,2.182169e+01
6,50,10,2.093328e+01
6,50,20,1.919947e+01
6,50,30,1.919921e+01
6,50,40,1.919919e+01
6,50,50,1.919918e+01
6,50,60,1.919916e+01
6,50,70,1.919915e+01
6,50,80,1.919913e+01
6,50,90,1.829380e+01
6,50,100,1.829380e+01
6,50,1,6.402547e+01
6,50,2,5.463849e+01
6,50,3,4.930605e+01
6,50,5,4.401305e+01
6,50,10,4.286057e+01
6,50,20,4.248366e+01
6,50,30,4.245457e+01
6,50,40,4.243170e+01
6,50,50,4.241349e+01
6,50,60,4.239636e+01
6,50,70,4.238304e+01
6,50,80,4.237531e+01
6,50,90,4.236822e+01
6,50,100,4.236462e+01
6,50,1,4.807948e+01
6,50,2,3.213284e+01
6,50,3,2.526840e+01
6,50,5,2.245979e+01
6,50,10,2.200476e+01
6,50,20,2.198218e+01
6,50,30,2.168807e+01
6,50,40,2.168789e+01
6,50,50,2.168789e+01
6,50,60,2.166381e+01
6,50,70,2.166358e+01
6,50,80,2.166358e+01
6,50,90,2.166358e+01
6,50,100,2.166358e+01
6,50,1,4.656240e+01
6,50,2,3.514108e+01
6,50,3,3.163973e+01
6,50,5,3.025736e+01
6,50,10,3.009360e+01
6,50,20,3.007942e+01
6,50,30,2.970938e+01
6,50,40,2.967898e+01
6,50,50,2.967897e+01
6,50,60,2.967896e+01
6,50,70,2.967895e+01
6,50,80,2.967894e+01
6,50,90,2.967893e+01
6,50,100,2.942520e+01
6,50,1,4.264765e+01
6,50,2,2.525988e+01
6,50,3,2.089721e+01
6,50,5,1.952391e+01
6,50,10,1.866984e+01
6,50,20,1.737852e+01
6,50,30,1.700446e+01
6,50,40,1.681636e+01
6,50,50,1.663711e+01
6,50,60,1.663684e+01
6,50,70,1.663684e+01
6,50,80,1.663684e+01
6,50,90,1.663684e+01
6,50,100,1.663684e+01
6,50,1,6.458610e+01
6,50,2,5.173675e+01
6,50,3,5.020964e+01
6,50,5,4.968708e+01
6,50,10,4.919889e+01
6,50,20,4.915581e+01
6,50,30,4.915258e+01
6,50,40,4.915200e+01
6,50,50,4.915188e+01
6,50,60,4.905926e+01
6,50,70,4.734063e+01
6,50,80,4.733940e+01
6,50,90,4.733884e+01
6,50,100,4.733819e+01
6,50,1,5.127943e+01
6,50,2,3.779561e+01
6,50,3,3.298184e+01
6,50,5,3.139138e+01
6,50,10,3.107118e+01
6,50,20,3.103117e+01
6,50,30,3.006302e+01
6,50,40,3.001618e+01
6,50,50,3.001616e+01
6,50,60,3.001614e+01
6,50,70,2.975715e+01
6,50,80,2.975335e+01
6,50,90,2.975335e+01
6,50,100,2.975334e+01
6,50,1,4.832474e+01
6,50,2,2.053195e+01
6,50,3,1.512602e+01
6,50,5,9.387318e+00
6,50,10,8.527644e+00
6,50,20,8.525219e+00
6,50,30,8.524391e+00
6,50,40,8.145112e+00
6,50,50,8.144964e+00
6,50,60,8.108564e+00
6,50,70,8.108321e+00
6,50,80,8.108198e+00
6,50,90,8.108083e+00
6,50,100,8.071790e+00
6,50,1,3.913736e+01
6,50,2,3.001246e+01
6,50,3,2.753177e+01
6,50,5,2.687161e+01
6,50,10,2.672206e+01
6,50,20,2.671650e+01
6,50,30,2.671566e+01
6,50,40,2.637467e+01
6,50,50,2.637415e+01
6,50,60,2.568119e+01
6,50,70,2.567378e+01
6,50,80,2.543116e+01
6,50,90,2.543108e+01
6,50,100,2.543101e+01
6,50,1,5.156223e+01
6,50,2,3.339800e+01
6,50,3,3.016076e+01
6,50,5,2.873933e+01
6,50,10,2.821748e+01
6,50,20,2.706213e+01
6,50,30,2.705894e+01
6,50,40,2.705894e+01
6,50,50,2.705894e+01
6,50,60,2.705894e+01
6,50,70,2.705894e+01
6,50,80,2.705894e+01
6,50,90,2.705894e+01
6,50,100,2.705894e+01
6,50,1,4.920338e+01
6,50,2,3.090759e+01
6,50,3,2.687670e+01
6,50,5,2.486996e+01
6,50,10,2.474642e+01
6,50,20,2.419535e+01
6,50,30,2.419457e+01
6,50,40,2.419422e+01
6,50,50,2.419399e+01
6,50,60,2.379401e+01
6,50,70,2.379400e+01
6,50,80,2.362275e+01
6,50,90,2.362275e+01
6,50,100,2.362275e+01
6,50,1,4.440057e+01
6,50,2,3.304707e+01
6,50,3,3.075349e+01
6,50,5,2.914728e+01
6,50,10,2.890339e+01
6,50,20,2.889399e+01
6,50,30,2.832553e+01
6,50,40,2.823941e+01
6,50,50,2.823941e+01
6,50,60,2.823941e+01
6,50,70,2.823941e+01
6,50,80,2.823941e+01
6,50,90,2.823941e+01
6,50,100,2.823941e+01
6,50,1,5.244310e+01
6,50,2,3.794908e+01
6,50,3,2.885183e+01
6,50,5,2.275396e+01
6,50,10,2.196386e+01
6,50,20,2.103386e+01
6,50,30,2.084055e+01
6,50,40,2.072791e+01
6,50,50,2.072786e+01
6,50,60,2.072782e+01
6,50,70,2.072779e+01
6,50,80,2.072775e+01
6,50,90,2.072771e+01
6,50,100,2.072768e+01
6,50,1,5.148491e+01
6,50,2,4.124640e+01
6,50,3,3.949335e+01
6,50,5,3.889891e+01
6,50,10,3.881292e+01
6,50,20,3.880441e+01
6,50,30,3.817377e+01
6,50,40,3.795227e+01
6,50,50,3.795226e+01
6,50,60,3.780083e+01
6,50,70,3.780082e+01
6,50,80,3.775929e+01
6,50,90,3.775917e+01
6,50,100,3.750560e+01
6,50,1,6.417593e+01
6,50,2,5.483993e+01
6,50,3,4.902436e+01
6,50,5,4.700687e+01
6,50,10,4.635047e+01
6,50,20,4.450216e+01
6,50,30,4.373487e+01
6,50,40,4.373359e+01
6,50,50,4.373328e+01
6,50,60,4.319344e+01
6,50,70,4.305834e+01
6,50,80,4.305823e+01
6,50,90,4.305822e+01
6,50,100,4.305822e+01
6,50,1,3.515411e+01
6,50,2,2.144037e+01
6,50,3,1.617117e+01
6,50,5,1.315983e+01
6,50,10,1.244138e+01
6,50,20,1.224352e+01
6,50,30,1.197183e+01
6,50,40,1.197139e+01
6,50,50,1.184892e+01
6,50,60,1.184891e+01
6,50,70,1.184891e+01
6,50,80,1.184891e+01
6,50,90,1.184891e+01
6,50,100,1.184891e+01
6,50,1,5.787175e+01
6,50,2,3.726805e+01
6,50,3,3.197224e+01
6,50,5,3.056164e+01
6,50,10,2.943632e+01
6,50,20,2.808902e+01
6,50,30,2.752213e+01
6,50,40,2.752156e+01
6,50,50,2.752143e+01
6,50,60,2.752129e+01
6,50,70,2.752119e+01
6,50,80,2.678989e+01
6,50,90,2.678403e+01
6,50,100,2.660207e+01
6,50,1,4.931797e+01
6,50,2,3.802628e+01
6,50,3,3.282240e+01
6,50,5,2.960796e+01
6,50,10,2.886278e+01
6,50,20,2.881945e+01
6,50,30,2.771715e+01
6,50,40,2.771487e+01
6,50,50,2.771427e+01
6,50,60,2.678617e+01
6,50,70,2.678599e+01
6,50,80,2.678591e+01
6,50,90,2.622312e+01
6,50,100,2.619986e+01
6,50,1,3.196253e+01
6,50,2,2.071464e+01
6,50,3,1.878445e+01
6,50,5,1.722655e+01
6,50,10,1.598703e+01
6,50,20,1.597236e+01
6,50,30,1.597228e+01
6,50,40,1.577928e+01
6,50,50,1.577925e+01
6,50,60,1.577922e+01
6,50,70,1.577919e+01
6,50,80,1.577918e+01
6,50,90,1.577915e+01
6,50,100,1.577913e+01
6,50,1,4.916332e+01
6,50,2,4.210314e+01
6,50,3,3.761185e+01
6,50,5,3.681775e+01
6,50,10,3.605782e+01
6,50,20,3.496813e+01
6,50,30,3.448634e+01
6,50,40,3.448124e+01
6,50,50,3.170777e+01
6,50,60,3.154144e+01
6,50,70,3.154140e+01
6,50,80,3.154140e+01
6,50,90,3.154140e+01
6,50,100,3.154140e+01
6,50,1,5.043321e+01
6,50,2,3.182271e+01
6,50,3,2.852530e+01
6,50,5,2.597187e+01
6,50,10,2.562023e+01
6,50,20,2.468769e+01
6,50,30,2.468519e+01
