funcid,dim,milestone,error
4,50,1,2.746555e+04
4,50,2,1.419418e+04
4,50,3,1.123338e+04
4,50,5,7.831195e+03
4,50,10,5.498076e+03
4,50,20,5.377742e+03
4,50,30,5.305868e+03
4,50,40,5.214990e+03
4,50,50,5.178077e+03
4,50,60,5.146528e+03
4,50,70,5.073637e+03
4,50,80,5.019807e+03
4,50,90,4.976433e+03
4,50,100,4.943644e+03
4,50,1,3.933121e+04
4,50,2,2.613895e+04
4,50,3,2.038524e+04
4,50,5,1.059931e+04
4,50,10,7.111597e+03
4,50,20,6.317458e+03
4,50,30,6.277249e+03
4,50,40,6.242420e+03
4,50,50,6.172137e+03
4,50,60,6.116710e+03
4,50,70,6.086734e+03
4,50,80,6.043663e+03
4,50,90,5.969756e+03
4,50,100,5.934528e+03
4,50,1,3.811091e+04
4,50,2,2.542210e+04
4,50,3,1.552702e+04
4,50,5,1.215002e+04
4,50,10,7.809800e+03
4,50,20,6.461339e+03
4,50,30,6.393271e+03
4,50,40,6.326613e+03
4,50,50,6.275914e+03
4,50,60,6.159210e+03
4,50,70,6.112731e+03
4,50,80,6.054739e+03
4,50,90,5.993507e+03
4,50,100,5.929761e+03
4,50,1,3.505222e+04
4,50,2,2.102890e+04
4,50,3,1.595003e+04
4,50,5,1.003806e+04
4,50,10,6.293791e+03
4,50,20,5.710121e+03
4,50,30,5.139764e+03
4,50,40,5.049763e+03
4,50,50,5.007270e+03
4,50,60,4.965952e+03
4,50,70,4.917177e+03
4,50,80,4.879775e+03
4,50,90,4.836101e+03
4,50,100,4.775591e+03
4,50,1,3.330268e+04
4,50,2,1.450822e+04
4,50,3,1.316244e+04
4,50,5,1.138939e+04
4,50,10,8.981154e+03
4,50,20,6.622891e+03
4,50,30,6.163562e+03
4,50,40,6.076138e+03
4,50,50,6.048068e+03
4,50,60,5.976834e+03
4,50,70,5.936625e+03
4,50,80,5.877483e+03
4,50,90,5.805081e+03
4,50,100,5.717627e+03
4,50,1,2.828468e+04
4,50,2,2.291716e+04
4,50,3,1.341177e+04
4,50,5,5.875530e+03
4,50,10,5.539967e+03
4,50,20,4.961535e+03
4,50,30,4.897499e+03
4,50,40,4.739140e+03
