funcid,dim,milestone,error
20,30,1,1.102421e+03
20,30,2,8.253078e+02
20,30,3,7.866512e+02
20,30,5,7.102037e+02
20,30,10,6.898522e+02
20,30,20,3.477281e+02
20,30,30,3.226944e+02
20,30,40,3.155307e+02
20,30,50,3.124096e+02
20,30,60,3.070997e+02
20,30,70,3.025112e+02
20,30,80,2.991861e+02
20,30,90,2.962814e+02
20,30,100,2.954828e+02
20,30,1,1.313549e+03
20,30,2,1.116297e+03
20,30,3,1.011853e+03
20,30,5,8.860192e+02
20,30,10,7.092477e+02
20,30,20,6.858920e+02
20,30,30,6.691769e+02
20,30,40,6.510000e+02
20,30,50,6.377715e+02
20,30,60,6.209064e+02
20,30,70,5.939402e+02
20,30,80,5.766945e+02
20,30,90,5.714283e+02
20,30,100,5.646138e+02
20,30,1,1.199858e+03
20,30,2,1.129569e+03
20,30,3,8.750988e+02
20,30,5,8.245814e+02
20,30,10,5.681055e+02
20,30,20,5.363184e+02
20,30,30,5.279702e+02
20,30,40,5.234757e+02
20,30,50,5.147994e+02
20,30,60,4.922969e+02
20,30,70,4.751583e+02
20,30,80,4.507537e+02
20,30,90,4.327433e+02
20,30,100,4.195238e+02
20,30,1,1.270944e+03
20,30,2,1.208092e+03
20,30,3,1.067834e+03
20,30,5,8.461409e+02
20,30,10,4.303536e+02
20,30,20,3.927500e+02
20,30,30,3.894505e+02
20,30,40,3.860770e+02
20,30,50,3.829209e+02
20,30,60,3.766652e+02
20,30,70,3.726196e+02
20,30,80,3.693193e+02
20,30,90,3.674340e+02
20,30,100,3.659373e+02
20,30,1,1.365325e+03
20,30,2,1.285507e+03
20,30,3,1.105399e+03
20,30,5,9.020114e+02
20,30,10,5.921204e+02
20,30,20,5.475627e+02
20,30,30,5.159686e+02
20,30,40,4.982806e+02
20,30,50,4.844149e+02
20,30,60,4.652502e+02
20,30,70,4.483163e+02
20,30,80,4.279568e+02
20,30,90,4.199682e+02
20,30,100,4.019072e+02
20,30,1,1.509213e+03
20,30,2,1.303286e+03
20,30,3,1.167318e+03
20,30,5,7.921542e+02
20,30,10,6.839944e+02
20,30,20,6.348594e+02
20,30,30,6.069891e+02
20,30,40,5.691369e+02
