funcid,dim,milestone,error
7,50,1,1.287708e+03
7,50,2,1.249742e+03
7,50,3,1.191694e+03
7,50,5,1.109422e+03
7,50,10,1.003385e+03
7,50,20,9.782721e+02
7,50,30,9.533179e+02
7,50,40,9.303514e+02
7,50,50,9.105922e+02
7,50,60,8.853639e+02
7,50,70,8.677227e+02
7,50,80,8.509641e+02
7,50,90,8.352645e+02
7,50,100,8.231595e+02
7,50,1,1.312502e+03
7,50,2,1.191884e+03
7,50,3,1.143935e+03
7,50,5,1.073392e+03
7,50,10,1.037754e+03
7,50,20,1.021611e+03
7,50,30,9.969765e+02
7,50,40,9.746284e+02
7,50,50,9.557270e+02
7,50,60,9.305063e+02
7,50,70,9.161466e+02
7,50,80,9.014322e+02
7,50,90,8.861052e+02
7,50,100,8.741864e+02
7,50,1,1.311441e+03
7,50,2,1.094309e+03
7,50,3,1.048595e+03
7,50,5,1.012428e+03
7,50,10,9.664701e+02
7,50,20,9.141795e+02
7,50,30,8.881220e+02
7,50,40,8.610113e+02
7,50,50,8.469521e+02
7,50,60,8.258984e+02
7,50,70,8.126367e+02
7,50,80,8.025635e+02
7,50,90,7.896916e+02
7,50,100,7.796339e+02
7,50,1,1.376856e+03
7,50,2,1.308625e+03
7,50,3,1.233109e+03
7,50,5,1.194179e+03
7,50,10,1.152859e+03
7,50,20,1.107732e+03
7,50,30,1.084784e+03
7,50,40,1.059247e+03
7,50,50,1.024163e+03
7,50,60,1.005964e+03
7,50,70,9.927460e+02
7,50,80,9.783313e+02
7,50,90,9.675312e+02
7,50,100,9.601132e+02
7,50,1,1.334254e+03
7,50,2,1.270493e+03
7,50,3,1.228021e+03
7,50,5,1.108585e+03
7,50,10,1.062517e+03
7,50,20,1.015513e+03
7,50,30,9.837716e+02
7,50,40,9.576131e+02
7,50,50,9.194696e+02
7,50,60,8.889580e+02
7,50,70,8.660576e+02
7,50,80,8.496174e+02
7,50,90,8.347923e+02
7,50,100,8.220275e+02
7,50,1,1.315823e+03
7,50,2,1.265955e+03
7,50,3,1.232336e+03
7,50,5,1.157291e+03
7,50,10,1.119376e+03
7,50,20,1.083617e+03
7,50,30,1.057509e+03
7,50,40,1.032504e+03
7,50,50,1.010241e+03
7,50,60,9.915687e+02
7,50,70,9.717384e+02
7,50,80,9.549727e+02
7,50,90,9.481897e+02
7,50,100,9.415126e+02
7,50,1,1.306635e+03
7,50,2,1.249112e+03
7,50,3,1.190933e+03
7,50,5,1.123834e+03
7,50,10,1.074388e+03
7,50,20,1.031279e+03
7,50,30,1.001498e+03
7,50,40,9.824967e+02
7,50,50,9.502896e+02
7,50,60,9.382745e+02
7,50,70,9.181173e+02
7,50,80,9.042075e+02
7,50,90,8.931644e+02
7,50,100,8.875565e+02
7,50,1,1.295075e+03
7,50,2,1.173646e+03
7,50,3,1.145255e+03
7,50,5,1.071393e+03
7,50,10,8.907930e+02
7,50,20,8.686534e+02
7,50,30,8.432291e+02
7,50,40,8.147901e+02
7,50,50,7.924844e+02
7,50,60,7.769317e+02
7,50,70,7.651913e+02
7,50,80,7.553396e+02
7,50,90,7.456032e+02
7,50,100,7.390980e+02
7,50,1,1.313100e+03
7,50,2,1.212483e+03
7,50,3,1.182353e+03
7,50,5,1.108818e+03
7,50,10,1.065908e+03
7,50,20,1.044024e+03
7,50,30,1.024192e+03
7,50,40,9.995102e+02
7,50,50,9.821549e+02
7,50,60,9.600190e+02
7,50,70,9.453891e+02
7,50,80,9.206337e+02
7,50,90,9.098073e+02
7,50,100,8.983992e+02
7,50,1,1.381349e+03
7,50,2,1.289923e+03
7,50,3,1.203268e+03
7,50,5,1.181913e+03
7,50,10,1.054274e+03
7,50,20,1.019744e+03
7,50,30,9.989438e+02
7,50,40,9.828752e+02
7,50,50,9.643721e+02
7,50,60,9.438973e+02
7,50,70,9.250955e+02
7,50,80,9.132791e+02
7,50,90,9.046587e+02
7,50,100,8.967910e+02
7,50,1,1.303951e+03
7,50,2,1.281909e+03
7,50,3,1.182965e+03
7,50,5,1.110686e+03
7,50,10,9.854083e+02
7,50,20,9.612220e+02
7,50,30,9.252978e+02
7,50,40,8.889464e+02
7,50,50,8.702435e+02
7,50,60,8.596145e+02
7,50,70,8.430252e+02
7,50,80,8.308534e+02
7,50,90,8.203301e+02
7,50,100,8.119352e+02
7,50,1,1.334229e+03
7,50,2,1.219794e+03
7,50,3,1.108996e+03
7,50,5,1.078887e+03
7,50,10,1.017183e+03
7,50,20,9.636594e+02
7,50,30,9.347733e+02
7,50,40,9.178924e+02
7,50,50,8.934394e+02
7,50,60,8.807309e+02
7,50,70,8.692877e+02
7,50,80,8.559319e+02
7,50,90,8.435197e+02
7,50,100,8.187463e+02
7,50,1,1.235582e+03
7,50,2,1.201028e+03
7,50,3,1.194754e+03
7,50,5,1.146855e+03
7,50,10,1.010441e+03
7,50,20,9.860574e+02
7,50,30,9.519772e+02
7,50,40,9.356703e+02
7,50,50,9.199440e+02
