funcid,dim,milestone,error
12,30,1,1.655224e+10
12,30,2,7.500042e+09
12,30,3,7.378322e+09
12,30,5,4.939316e+09
12,30,10,3.140202e+09
12,30,20,2.476995e+09
12,30,30,1.652121e+09
12,30,40,1.616821e+09
12,30,50,1.595790e+09
12,30,60,1.575993e+09
12,30,70,1.546008e+09
12,30,80,1.531498e+09
12,30,90,1.517573e+09
12,30,100,1.509788e+09
12,30,1,1.444251e+10
12,30,2,9.625649e+09
12,30,3,7.132724e+09
12,30,5,4.459641e+09
12,30,10,1.986995e+09
12,30,20,1.637217e+09
12,30,30,1.585957e+09
12,30,40,1.575725e+09
12,30,50,1.569611e+09
12,30,60,1.549821e+09
12,30,70,1.535442e+09
12,30,80,1.500891e+09
12,30,90,1.471822e+09
12,30,100,1.441419e+09
12,30,1,1.705894e+10
12,30,2,1.465713e+10
12,30,3,7.513367e+09
12,30,5,3.727229e+09
12,30,10,1.827846e+09
12,30,20,1.293201e+09
12,30,30,1.182292e+09
12,30,40,1.141156e+09
12,30,50,1.123871e+09
12,30,60,1.105877e+09
12,30,70,1.091479e+09
12,30,80,1.086727e+09
12,30,90,1.069380e+09
12,30,100,1.059059e+09
12,30,1,1.994606e+10
12,30,2,5.092277e+09
12,30,3,2.890013e+09
12,30,5,1.788408e+09
12,30,10,1.111167e+09
12,30,20,7.142886e+08
12,30,30,6.689051e+08
12,30,40,6.560572e+08
12,30,50,6.513088e+08
12,30,60,6.169535e+08
12,30,70,6.095503e+08
12,30,80,6.039165e+08
12,30,90,5.944017e+08
12,30,100,5.872821e+08
12,30,1,1.921300e+10
12,30,2,1.006837e+10
12,30,3,6.608615e+09
12,30,5,5.300219e+09
12,30,10,2.522545e+09
12,30,20,2.167797e+09
12,30,30,1.451856e+09
12,30,40,1.124255e+09
12,30,50,1.093356e+09
12,30,60,1.051622e+09
12,30,70,1.029259e+09
12,30,80,1.017050e+09
12,30,90,9.936013e+08
12,30,100,9.777368e+08
12,30,1,1.549036e+10
12,30,2,8.797044e+09
12,30,3,6.467770e+09
12,30,5,2.953045e+09
12,30,10,1.639371e+09
12,30,20,1.217098e+09
12,30,30,1.154930e+09
12,30,40,1.120496e+09
12,30,50,1.099954e+09
12,30,60,1.080819e+09
12,30,70,1.073495e+09
12,30,80,1.052138e+09
12,30,90,1.034626e+09
12,30,100,1.021056e+09
12,30,1,1.796595e+10
12,30,2,1.214776e+10
12,30,3,6.538706e+09
12,30,5,3.758039e+09
12,30,10,1.915897e+09
12,30,20,1.312561e+09
12,30,30,1.297232e+09
12,30,40,1.196976e+09
12,30,50,1.179685e+09
12,30,60,1.132286e+09
12,30,70,1.126863e+09
12,30,80,1.111340e+09
12,30,90,1.091248e+09
12,30,100,1.075466e+09
12,30,1,1.653014e+10
12,30,2,7.382357e+09
12,30,3,5.256927e+09
12,30,5,4.159512e+09
12,30,10,1.706938e+09
12,30,20,9.515445e+08
12,30,30,8.384848e+08
12,30,40,8.234009e+08
12,30,50,8.163777e+08
12,30,60,8.088500e+08
12,30,70,7.922636e+08
12,30,80,7.619451e+08
12,30,90,7.559110e+08
12,30,100,7.459448e+08
12,30,1,9.985938e+09
12,30,2,6.540802e+09
12,30,3,4.226523e+09
12,30,5,2.709532e+09
12,30,10,6.766280e+08
12,30,20,6.178899e+08
12,30,30,6.015269e+08
12,30,40,5.898875e+08
12,30,50,5.808249e+08
12,30,60,5.684865e+08
12,30,70,5.618912e+08
12,30,80,5.523450e+08
12,30,90,5.463291e+08
12,30,100,5.346712e+08
12,30,1,1.645580e+10
12,30,2,6.923210e+09
12,30,3,6.503523e+09
12,30,5,4.167020e+09
12,30,10,1.210460e+09
12,30,20,7.235649e+08
12,30,30,7.081041e+08
12,30,40,6.933949e+08
12,30,50,6.796822e+08
12,30,60,6.653867e+08
12,30,70,6.553844e+08
12,30,80,6.429023e+08
12,30,90,6.349861e+08
12,30,100,6.272217e+08
12,30,1,1.652064e+10
12,30,2,1.327096e+10
12,30,3,7.080149e+09
12,30,5,3.409396e+09
12,30,10,1.905095e+09
12,30,20,1.341159e+09
12,30,30,1.284996e+09
12,30,40,1.263463e+09
12,30,50,1.252616e+09
12,30,60,1.238863e+09
12,30,70,1.219168e+09
12,30,80,1.202032e+09
12,30,90,1.189383e+09
12,30,100,1.180157e+09
12,30,1,2.040723e+10
12,30,2,1.396028e+10
12,30,3,9.326089e+09
12,30,5,4.157206e+09
12,30,10,1.850980e+09
12,30,20,1.480512e+09
12,30,30,1.457849e+09
12,30,40,1.437493e+09
12,30,50,1.421694e+09
12,30,60,1.406252e+09
12,30,70,1.388123e+09
12,30,80,1.372142e+09
12,30,90,1.362778e+09
12,30,100,1.334830e+09
12,30,1,1.924053e+10
12,30,2,8.272271e+09
12,30,3,5.105118e+09
12,30,5,4.511819e+09
12,30,10,2.049756e+09
12,30,20,1.567031e+09
12,30,30,1.179635e+09
12,30,40,1.150936e+09
12,30,50,1.141547e+09
12,30,60,1.114160e+09
12,30,70,1.080263e+09
12,30,80,1.063517e+09
12,30,90,1.048606e+09
12,30,100,1.026209e+09
12,30,1,1.385771e+10
12,30,2,7.803010e+09
12,30,3,2.916676e+09
12,30,5,2.394195e+09
12,30,10,1.556109e+09
12,30,20,1.507285e+09
12,30,30,1.381826e+09
12,30,40,1.336124e+09
12,30,50,1.307349e+09
12,30,60,1.280171e+09
12,30,70,1.261110e+09
12,30,80,1.242039e+09
12,30,90,1.224472e+09
12,30,100,1.204614e+09
12,30,1,1.738778e+10
12,30,2,1.043635e+10
12,30,3,8.565071e+09
12,30,5,5.720487e+09
12,30,10,3.860744e+09
12,30,20,1.185774e+09
12,30,30,1.002442e+09
12,30,40,9.679224e+08
12,30,50,8.426550e+08
12,30,60,8.281575e+08
12,30,70,8.119554e+08
12,30,80,7.905071e+08
12,30,90,7.759030e+08
12,30,100,7.682979e+08
12,30,1,1.787282e+10
12,30,2,1.364194e+10
12,30,3,7.116843e+09
12,30,5,4.698691e+09
12,30,10,1.158579e+09
12,30,20,1.006886e+09
12,30,30,9.464242e+08
12,30,40,8.354159e+08
12,30,50,8.227482e+08
12,30,60,8.094121e+08
12,30,70,7.993194e+08
12,30,80,7.898561e+08
12,30,90,7.765360e+08
12,30,100,7.597024e+08
12,30,1,1.700195e+10
12,30,2,9.139521e+09
12,30,3,3.985301e+09
12,30,5,2.088806e+09
12,30,10,1.611669e+09
12,30,20,1.028709e+09
12,30,30,1.005788e+09
12,30,40,9.877797e+08
12,30,50,9.769158e+08
12,30,60,9.639704e+08
12,30,70,9.486327e+08
12,30,80,9.402889e+08
12,30,90,9.310541e+08
12,30,100,9.200346e+08
12,30,1,1.742791e+10
12,30,2,1.015648e+10
12,30,3,5.417288e+09
12,30,5,1.619882e+09
12,30,10,8.811586e+08
12,30,20,5.353072e+08
12,30,30,5.083788e+08
12,30,40,4.868641e+08
12,30,50,4.769317e+08
12,30,60,4.626633e+08
12,30,70,4.525954e+08
12,30,80,4.404944e+08
12,30,90,4.341585e+08
12,30,100,4.237452e+08
12,30,1,1.616624e+10
12,30,2,6.501964e+09
12,30,3,5.532517e+09
12,30,5,1.427411e+09
12,30,10,8.961564e+08
12,30,20,7.795564e+08
12,30,30,7.600334e+08
12,30,40,7.405504e+08
12,30,50,7.249327e+08
12,30,60,7.161690e+08
12,30,70,7.015905e+08
12,30,80,6.900605e+08
12,30,90,6.722769e+08
12,30,100,6.658238e+08
12,30,1,1.849866e+10
12,30,2,1.199574e+10
12,30,3,8.790330e+09
12,30,5,5.620566e+09
12,30,10,3.853545e+09
12,30,20,2.723618e+09
12,30,30,2.420793e+09
12,30,40,2.380710e+09
12,30,50,2.348265e+09
12,30,60,2.323855e+09
12,30,70,2.301340e+09
12,30,80,2.281498e+09
12,30,90,2.253993e+09
12,30,100,2.192787e+09
12,30,1,1.421104e+10
12,30,2,8.286149e+09
12,30,3,6.277759e+09
12,30,5,4.721798e+09
12,30,10,2.624854e+09
12,30,20,1.121843e+09
12,30,30,5.775315e+08
12,30,40,5.701012e+08
12,30,50,5.617663e+08
12,30,60,5.460444e+08
12,30,70,5.389773e+08
12,30,80,5.231475e+08
12,30,90,5.161194e+08
12,30,100,5.060799e+08
12,30,1,1.144065e+10
12,30,2,3.752941e+09
12,30,3,3.735564e+09
12,30,5,3.697836e+09
12,30,10,1.840386e+09
12,30,20,1.386556e+09
12,30,30,1.328450e+09
12,30,40,9.738348e+08
12,30,50,7.501078e+08
12,30,60,7.343674e+08
12,30,70,7.275941e+08
12,30,80,7.160208e+08
12,30,90,7.081129e+08
12,30,100,6.983579e+08
12,30,1,1.363378e+10
