funcid,dim,milestone,error
26,30,1,9.157485e+03
26,30,2,8.669039e+03
26,30,3,7.243644e+03
26,30,5,4.629039e+03
26,30,10,3.289405e+03
26,30,20,2.890807e+03
26,30,30,2.738928e+03
26,30,40,2.685749e+03
26,30,50,2.665810e+03
26,30,60,2.653572e+03
26,30,70,2.642502e+03
26,30,80,2.633758e+03
26,30,90,2.621426e+03
26,30,100,2.612058e+03
26,30,1,9.949986e+03
26,30,2,7.619298e+03
26,30,3,6.621827e+03
26,30,5,5.039825e+03
26,30,10,2.709845e+03
26,30,20,2.369829e+03
26,30,30,2.339865e+03
26,30,40,2.332016e+03
26,30,50,2.326452e+03
26,30,60,2.321283e+03
26,30,70,2.313310e+03
26,30,80,2.306543e+03
26,30,90,2.301220e+03
26,30,100,2.297894e+03
26,30,1,8.010883e+03
26,30,2,6.683770e+03
26,30,3,6.547918e+03
26,30,5,6.268853e+03
26,30,10,5.116782e+03
26,30,20,3.485554e+03
26,30,30,3.365974e+03
26,30,40,3.350608e+03
26,30,50,3.344636e+03
26,30,60,3.331094e+03
26,30,70,3.322888e+03
26,30,80,3.319513e+03
26,30,90,3.313207e+03
26,30,100,3.306245e+03
26,30,1,9.862535e+03
26,30,2,8.191754e+03
26,30,3,7.593325e+03
26,30,5,5.111448e+03
26,30,10,3.609005e+03
26,30,20,3.309274e+03
26,30,30,3.302838e+03
26,30,40,3.038361e+03
26,30,50,3.029321e+03
26,30,60,3.010411e+03
26,30,70,2.998006e+03
26,30,80,2.986731e+03
26,30,90,2.975179e+03
26,30,100,2.959910e+03
26,30,1,8.888564e+03
26,30,2,8.232187e+03
26,30,3,6.429974e+03
26,30,5,6.163771e+03
26,30,10,4.980172e+03
26,30,20,3.875411e+03
26,30,30,3.815959e+03
26,30,40,3.662401e+03
26,30,50,3.636843e+03
26,30,60,3.612200e+03
26,30,70,3.594918e+03
26,30,80,3.579864e+03
26,30,90,3.570765e+03
26,30,100,3.552886e+03
26,30,1,8.557415e+03
26,30,2,7.738033e+03
26,30,3,7.265208e+03
26,30,5,5.466658e+03
26,30,10,4.169819e+03
26,30,20,3.484472e+03
26,30,30,3.310818e+03
26,30,40,3.278870e+03
26,30,50,3.269166e+03
26,30,60,3.255911e+03
26,30,70,3.244903e+03
26,30,80,3.232576e+03
26,30,90,3.217218e+03
26,30,100,3.200189e+03
26,30,1,8.891238e+03
26,30,2,8.079280e+03
26,30,3,7.556892e+03
26,30,5,5.930721e+03
26,30,10,3.378621e+03
26,30,20,3.094446e+03
26,30,30,3.061170e+03
26,30,40,3.050893e+03
26,30,50,3.032616e+03
26,30,60,3.014405e+03
26,30,70,3.006067e+03
26,30,80,2.985100e+03
26,30,90,2.981411e+03
26,30,100,2.969243e+03
26,30,1,8.242031e+03
26,30,2,7.988619e+03
26,30,3,7.311939e+03
26,30,5,5.720790e+03
26,30,10,4.537945e+03
26,30,20,4.356674e+03
26,30,30,4.337830e+03
26,30,40,4.316776e+03
26,30,50,4.302755e+03
26,30,60,4.286312e+03
26,30,70,4.270188e+03
26,30,80,4.232795e+03
26,30,90,4.213737e+03
26,30,100,4.193727e+03
26,30,1,9.155175e+03
26,30,2,8.680287e+03
26,30,3,7.471247e+03
26,30,5,5.497388e+03
26,30,10,2.724688e+03
26,30,20,2.419658e+03
26,30,30,2.311110e+03
26,30,40,2.299509e+03
26,30,50,2.290301e+03
26,30,60,2.282536e+03
26,30,70,2.274266e+03
26,30,80,2.267566e+03
26,30,90,2.254634e+03
26,30,100,2.246240e+03
26,30,1,1.014728e+04
26,30,2,8.059194e+03
26,30,3,6.735884e+03
26,30,5,5.095053e+03
26,30,10,3.658604e+03
26,30,20,3.281243e+03
26,30,30,3.236650e+03
26,30,40,3.229642e+03
26,30,50,3.218031e+03
26,30,60,3.200508e+03
26,30,70,3.197095e+03
26,30,80,3.184812e+03
26,30,90,3.178791e+03
26,30,100,3.156657e+03
26,30,1,9.609173e+03
26,30,2,8.716600e+03
26,30,3,7.197085e+03
26,30,5,5.439804e+03
26,30,10,4.890182e+03
26,30,20,4.677651e+03
26,30,30,4.649206e+03
26,30,40,4.633107e+03
26,30,50,4.618185e+03
26,30,60,4.605175e+03
26,30,70,4.594908e+03
26,30,80,4.586790e+03
26,30,90,4.567477e+03
26,30,100,4.535978e+03
26,30,1,9.663189e+03
26,30,2,8.121281e+03
26,30,3,7.434097e+03
26,30,5,5.892763e+03
26,30,10,4.015774e+03
26,30,20,3.678921e+03
26,30,30,3.594683e+03
26,30,40,3.578154e+03
26,30,50,3.568454e+03
26,30,60,3.552780e+03
26,30,70,3.538110e+03
26,30,80,3.515537e+03
26,30,90,3.504079e+03
26,30,100,3.487624e+03
26,30,1,9.594458e+03
26,30,2,8.113997e+03
26,30,3,7.071534e+03
26,30,5,6.377620e+03
26,30,10,4.215423e+03
26,30,20,2.930137e+03
26,30,30,2.886146e+03
26,30,40,2.842198e+03
26,30,50,2.828444e+03
26,30,60,2.815615e+03
26,30,70,2.808369e+03
26,30,80,2.796082e+03
26,30,90,2.779209e+03
26,30,100,2.769845e+03
26,30,1,6.256930e+03
26,30,2,5.375523e+03
26,30,3,5.051280e+03
26,30,5,4.374006e+03
26,30,10,2.973480e+03
26,30,20,2.787316e+03
26,30,30,2.146705e+03
26,30,40,2.125847e+03
26,30,50,2.106745e+03
26,30,60,2.098407e+03
26,30,70,2.091467e+03
26,30,80,2.083604e+03
26,30,90,2.074152e+03
26,30,100,2.067131e+03
26,30,1,9.584352e+03
26,30,2,9.084298e+03
26,30,3,7.203397e+03
26,30,5,5.385099e+03
26,30,10,3.906991e+03
26,30,20,3.190859e+03
26,30,30,3.168054e+03
26,30,40,3.145303e+03
26,30,50,3.130139e+03
26,30,60,3.118958e+03
26,30,70,3.106650e+03
26,30,80,3.094963e+03
26,30,90,3.083213e+03
26,30,100,3.074033e+03
26,30,1,9.242969e+03
26,30,2,8.177759e+03
26,30,3,6.938691e+03
26,30,5,5.659456e+03
26,30,10,4.459203e+03
26,30,20,3.111342e+03
26,30,30,2.976769e+03
26,30,40,2.963608e+03
26,30,50,2.943646e+03
26,30,60,2.922632e+03
26,30,70,2.909161e+03
26,30,80,2.900996e+03
26,30,90,2.891297e+03
26,30,100,2.879995e+03
26,30,1,9.428871e+03
26,30,2,8.605085e+03
26,30,3,7.533135e+03
26,30,5,4.935145e+03
26,30,10,4.690035e+03
26,30,20,4.642577e+03
26,30,30,4.601480e+03
26,30,40,4.579303e+03
26,30,50,4.571402e+03
26,30,60,4.558007e+03
26,30,70,4.540351e+03
26,30,80,4.524250e+03
26,30,90,4.506446e+03
26,30,100,4.480723e+03
26,30,1,7.376681e+03
26,30,2,6.670109e+03
26,30,3,5.947076e+03
26,30,5,5.195496e+03
26,30,10,3.066450e+03
26,30,20,2.873132e+03
26,30,30,2.868087e+03
26,30,40,2.855434e+03
26,30,50,2.849472e+03
26,30,60,2.842961e+03
26,30,70,2.839430e+03
26,30,80,2.834630e+03
26,30,90,2.810020e+03
26,30,100,2.804893e+03
26,30,1,9.131600e+03
26,30,2,8.645406e+03
26,30,3,7.805930e+03
26,30,5,6.118264e+03
26,30,10,5.937989e+03
26,30,20,5.804217e+03
26,30,30,5.758113e+03
26,30,40,5.716537e+03
26,30,50,5.680775e+03
26,30,60,5.646429e+03
26,30,70,5.602726e+03
26,30,80,5.573594e+03
26,30,90,5.542906e+03
26,30,100,5.491051e+03
26,30,1,9.434377e+03
26,30,2,7.386118e+03
26,30,3,6.517731e+03
26,30,5,6.221792e+03
26,30,10,5.959179e+03
26,30,20,4.232497e+03
26,30,30,3.892141e+03
26,30,40,3.710057e+03
26,30,50,3.648071e+03
26,30,60,3.634238e+03
26,30,70,3.616782e+03
26,30,80,3.602932e+03
26,30,90,3.586813e+03
26,30,100,3.570927e+03
26,30,1,8.801000e+03
26,30,2,6.831605e+03
26,30,3,6.623034e+03
26,30,5,5.979502e+03
26,30,10,3.792685e+03
26,30,20,3.066397e+03
26,30,30,3.046032e+03
26,30,40,3.030664e+03
26,30,50,3.007030e+03
26,30,60,2.980781e+03
26,30,70,2.964259e+03
26,30,80,2.949304e+03
26,30,90,2.936783e+03
26,30,100,2.928216e+03
26,30,1,9.804425e+03
26,30,2,7.999936e+03
26,30,3,7.752584e+03
26,30,5,6.048969e+03
26,30,10,4.014745e+03
26,30,20,3.434276e+03
26,30,30,3.224655e+03
26,30,40,3.215060e+03
26,30,50,3.199935e+03
26,30,60,3.186297e+03
26,30,70,3.150923e+03
26,30,80,3.137854e+03
26,30,90,3.108610e+03
26,30,100,3.077995e+03
26,30,1,8.431363e+03
26,30,2,7.238428e+03
26,30,3,5.794339e+03
26,30,5,5.576836e+03
26,30,10,3.241570e+03
26,30,20,2.698695e+03
26,30,30,2.589878e+03
26,30,40,2.581639e+03
26,30,50,2.575231e+03
26,30,60,2.564691e+03
26,30,70,2.548692e+03
26,30,80,2.537149e+03
26,30,90,2.523550e+03
26,30,100,2.497257e+03
26,30,1,8.479340e+03
26,30,2,7.479295e+03
26,30,3,6.508177e+03
26,30,5,6.250796e+03
26,30,10,5.556746e+03
26,30,20,4.998069e+03
26,30,30,4.661601e+03
26,30,40,4.631469e+03
26,30,50,4.609741e+03
26,30,60,4.595309e+03
26,30,70,4.578992e+03
26,30,80,4.563428e+03
26,30,90,4.545589e+03
26,30,100,4.537272e+03
26,30,1,7.629196e+03
26,30,2,7.295030e+03
26,30,3,7.222376e+03
26,30,5,4.770310e+03
26,30,10,4.281609e+03
26,30,20,3.364429e+03
26,30,30,3.249310e+03
26,30,40,3.215621e+03
26,30,50,3.203988e+03
26,30,60,3.188795e+03
26,30,70,3.173752e+03
26,30,80,3.162690e+03
26,30,90,3.150546e+03
26,30,100,3.143844e+03
26,30,1,7.839417e+03
26,30,2,7.297173e+03
26,30,3,6.752967e+03
26,30,5,4.379866e+03
26,30,10,3.455966e+03
26,30,20,2.465213e+03
26,30,30,2.441720e+03
26,30,40,2.430856e+03
26,30,50,2.419657e+03
26,30,60,2.412568e+03
26,30,70,2.407998e+03
26,30,80,2.398775e+03
26,30,90,2.389994e+03
26,30,100,2.381054e+03
26,30,1,8.678887e+03
26,30,2,7.597671e+03
26,30,3,6.588907e+03
26,30,5,5.541749e+03
26,30,10,3.739604e+03
26,30,20,3.581767e+03
26,30,30,3.371167e+03
26,30,40,3.361424e+03
26,30,50,3.346980e+03
26,30,60,3.333207e+03
26,30,70,3.320479e+03
26,30,80,3.303158e+03
26,30,90,3.292875e+03
26,30,100,3.276471e+03
26,30,1,8.739459e+03
26,30,2,7.632682e+03
26,30,3,6.914215e+03
26,30,5,5.149300e+03
26,30,10,3.876142e+03
26,30,20,3.416684e+03
26,30,30,3.357541e+03
26,30,40,3.350170e+03
26,30,50,3.338515e+03
26,30,60,3.328870e+03
26,30,70,3.307261e+03
26,30,80,3.294156e+03
26,30,90,3.284650e+03
26,30,100,3.275758e+03
26,30,1,9.636200e+03
26,30,2,7.897642e+03
26,30,3,5.944636e+03
26,30,5,5.219822e+03
26,30,10,4.061059e+03
26,30,20,2.951989e+03
26,30,30,2.932577e+03
26,30,40,2.922776e+03
26,30,50,2.913061e+03
26,30,60,2.905356e+03
26,30,70,2.887970e+03
26,30,80,2.881313e+03
26,30,90,2.871831e+03
26,30,100,2.861265e+03
26,30,1,9.737027e+03
26,30,2,8.230719e+03
26,30,3,7.199698e+03
26,30,5,7.113948e+03
26,30,10,4.510810e+03
26,30,20,3.496817e+03
26,30,30,3.454016e+03
26,30,40,3.442704e+03
26,30,50,3.425311e+03
26,30,60,3.398512e+03
26,30,70,3.384682e+03
26,30,80,3.369083e+03
26,30,90,3.352815e+03
26,30,100,3.339855e+03
26,30,1,8.093278e+03
26,30,2,7.879500e+03
26,30,3,7.216445e+03
26,30,5,5.938766e+03
26,30,10,3.912046e+03
26,30,20,3.116331e+03
26,30,30,3.100219e+03
26,30,40,3.090152e+03
26,30,50,3.079354e+03
26,30,60,3.071848e+03
26,30,70,3.064797e+03
26,30,80,3.055032e+03
26,30,90,3.045754e+03
26,30,100,3.037073e+03
