funcid,dim,milestone,error
25,30,1,3.213743e+03
25,30,2,1.716701e+03
25,30,3,1.313028e+03
25,30,5,9.688745e+02
25,30,10,7.474522e+02
25,30,20,6.423439e+02
25,30,30,6.323517e+02
25,30,40,6.282511e+02
25,30,50,6.257552e+02
25,30,60,6.235161e+02
25,30,70,6.198990e+02
25,30,80,6.177922e+02
25,30,90,6.158541e+02
25,30,100,6.132124e+02
25,30,1,2.856568e+03
25,30,2,2.209814e+03
25,30,3,1.411337e+03
25,30,5,8.835092e+02
25,30,10,7.836345e+02
25,30,20,6.666534e+02
25,30,30,6.567588e+02
25,30,40,6.538316e+02
25,30,50,6.514339e+02
25,30,60,6.487699e+02
25,30,70,6.462318e+02
25,30,80,6.436240e+02
25,30,90,6.408112e+02
25,30,100,6.381286e+02
25,30,1,2.142864e+03
25,30,2,1.750969e+03
25,30,3,1.024916e+03
25,30,5,7.283496e+02
25,30,10,7.028726e+02
25,30,20,6.217895e+02
25,30,30,6.174486e+02
25,30,40,6.152360e+02
25,30,50,6.131588e+02
25,30,60,6.104406e+02
25,30,70,6.075670e+02
25,30,80,6.055306e+02
25,30,90,6.036757e+02
25,30,100,6.019254e+02
25,30,1,2.577470e+03
25,30,2,2.317522e+03
25,30,3,1.287797e+03
25,30,5,8.724704e+02
25,30,10,6.807784e+02
25,30,20,6.476845e+02
25,30,30,6.364749e+02
25,30,40,6.340400e+02
25,30,50,6.317251e+02
25,30,60,6.299558e+02
25,30,70,6.266109e+02
25,30,80,6.247633e+02
25,30,90,6.229790e+02
25,30,100,6.212183e+02
25,30,1,3.335449e+03
25,30,2,1.946883e+03
25,30,3,1.166735e+03
25,30,5,9.742049e+02
25,30,10,6.795456e+02
25,30,20,6.630220e+02
25,30,30,6.613417e+02
25,30,40,6.594798e+02
25,30,50,6.581720e+02
25,30,60,6.565368e+02
25,30,70,6.484198e+02
25,30,80,6.456336e+02
25,30,90,6.445017e+02
25,30,100,6.401254e+02
25,30,1,3.208759e+03
25,30,2,1.911109e+03
25,30,3,1.356603e+03
25,30,5,1.046657e+03
25,30,10,7.282413e+02
25,30,20,6.731686e+02
25,30,30,6.697925e+02
25,30,40,6.678852e+02
25,30,50,6.663251e+02
25,30,60,6.651428e+02
25,30,70,6.636979e+02
25,30,80,6.605855e+02
25,30,90,6.590232e+02
25,30,100,6.554764e+02
25,30,1,3.654629e+03
25,30,2,2.837230e+03
25,30,3,1.735457e+03
25,30,5,1.340878e+03
25,30,10,7.787190e+02
25,30,20,6.941443e+02
25,30,30,6.884026e+02
25,30,40,6.858702e+02
25,30,50,6.840722e+02
25,30,60,6.805993e+02
25,30,70,6.767945e+02
25,30,80,6.747771e+02
25,30,90,6.715521e+02
25,30,100,6.697068e+02
25,30,1,2.893926e+03
25,30,2,1.990631e+03
25,30,3,9.512843e+02
25,30,5,8.287075e+02
25,30,10,7.989285e+02
25,30,20,7.432061e+02
25,30,30,6.890055e+02
25,30,40,6.663979e+02
25,30,50,6.642308e+02
25,30,60,6.620060e+02
25,30,70,6.598670e+02
25,30,80,6.553980e+02
25,30,90,6.493942e+02
25,30,100,6.465304e+02
25,30,1,3.849392e+03
25,30,2,2.305162e+03
25,30,3,1.538467e+03
25,30,5,1.041074e+03
25,30,10,7.700925e+02
25,30,20,6.795771e+02
25,30,30,6.597534e+02
25,30,40,6.526376e+02
25,30,50,6.510859e+02
25,30,60,6.490475e+02
25,30,70,6.476337e+02
25,30,80,6.442855e+02
25,30,90,6.425831e+02
25,30,100,6.412958e+02
25,30,1,2.491856e+03
25,30,2,1.991798e+03
25,30,3,1.391707e+03
25,30,5,1.013175e+03
25,30,10,8.181905e+02
25,30,20,7.377647e+02
25,30,30,6.567179e+02
25,30,40,6.372652e+02
25,30,50,6.354173e+02
25,30,60,6.332112e+02
25,30,70,6.308161e+02
25,30,80,6.284908e+02
25,30,90,6.265313e+02
25,30,100,6.245358e+02
25,30,1,2.296327e+03
25,30,2,1.704826e+03
25,30,3,1.448702e+03
25,30,5,1.249090e+03
25,30,10,8.302143e+02
25,30,20,7.062036e+02
25,30,30,6.908908e+02
25,30,40,6.855507e+02
25,30,50,6.806484e+02
25,30,60,6.780176e+02
25,30,70,6.731984e+02
25,30,80,6.715860e+02
25,30,90,6.663618e+02
25,30,100,6.639847e+02
25,30,1,2.744139e+03
25,30,2,1.996703e+03
25,30,3,1.225764e+03
25,30,5,1.007654e+03
25,30,10,7.994944e+02
25,30,20,7.303789e+02
25,30,30,7.171064e+02
25,30,40,7.144016e+02
25,30,50,7.119307e+02
25,30,60,7.087873e+02
25,30,70,7.061044e+02
25,30,80,7.040646e+02
25,30,90,6.988897e+02
25,30,100,6.967366e+02
25,30,1,3.025746e+03
25,30,2,2.367931e+03
25,30,3,1.648808e+03
25,30,5,1.291310e+03
25,30,10,9.018135e+02
25,30,20,8.025883e+02
25,30,30,6.965744e+02
25,30,40,6.800782e+02
25,30,50,6.769558e+02
25,30,60,6.755776e+02
25,30,70,6.718243e+02
25,30,80,6.707273e+02
25,30,90,6.685148e+02
25,30,100,6.661814e+02
25,30,1,3.679750e+03
25,30,2,1.463541e+03
25,30,3,1.248336e+03
25,30,5,1.150532e+03
25,30,10,7.514081e+02
25,30,20,6.623972e+02
25,30,30,6.568887e+02
25,30,40,6.449177e+02
25,30,50,6.414153e+02
25,30,60,6.381848e+02
25,30,70,6.359824e+02
25,30,80,6.329356e+02
25,30,90,6.305773e+02
25,30,100,6.282159e+02
25,30,1,3.245471e+03
25,30,2,2.394887e+03
25,30,3,1.589330e+03
25,30,5,9.887200e+02
25,30,10,7.996483e+02
25,30,20,6.630004e+02
25,30,30,6.412182e+02
25,30,40,6.365236e+02
25,30,50,6.344861e+02
25,30,60,6.321291e+02
25,30,70,6.293188e+02
25,30,80,6.272653e+02
25,30,90,6.255588e+02
25,30,100,6.227025e+02
25,30,1,3.277858e+03
25,30,2,2.447514e+03
25,30,3,1.918093e+03
25,30,5,1.399226e+03
25,30,10,8.805885e+02
25,30,20,7.958340e+02
25,30,30,7.548270e+02
25,30,40,7.476867e+02
25,30,50,7.444353e+02
25,30,60,7.409833e+02
25,30,70,7.391553e+02
25,30,80,7.338730e+02
