alg,fitness
LOCALSEARCHMULTI,-3.35742
LOCALSEARCHMULTI,-3.55355
LOCALSEARCHMULTI,-3.41764
LOCALSEARCHMULTI,-3.42269
LOCALSEARCHMULTI,-3.56132
LOCALSEARCHMULTI,-3.36884
LOCALSEARCHMULTI,-3.56761
LOCALSEARCHMULTI,-3.3201
LOCALSEARCHMULTI,-3.16963
LOCALSEARCHMULTI,-3.51508
LOCALSEARCHMULTI,-3.17098
LOCALSEARCHMULTI,-3.31506
LOCALSEARCHMULTI,-3.44261
LOCALSEARCHMULTI,-3.54432
LOCALSEARCHMULTI,-3.30873
LOCALSEARCHMULTI,-3.22507
LOCALSEARCHMULTI,-3.31973
LOCALSEARCHMULTI,-3.8
LOCALSEARCHMULTI,-3.33131
LOCALSEARCHMULTI,-3.24829
LOCALSEARCHMULTI,-3.28921
AGG-ARIT,-2.91706
AGG-ARIT,-3.0345
AGG-ARIT,-2.94866
AGG-ARIT,-2.95154
AGG-ARIT,-2.86623
AGG-ARIT,-3.10418
AGG-ARIT,-2.97918
AGG-ARIT,-2.91157
AGG-ARIT,-2.90537
AGG-ARIT,-2.90379
AGG-ARIT,-2.87268
AGG-ARIT,-2.84482
AGG-ARIT,-2.93462
AGG-ARIT,-2.95069
AGG-ARIT,-2.97446
AGG-ARIT,-2.97606
AGG-ARIT,-3.02509
AGG-ARIT,-2.94261
AGG-ARIT,-3.05259
AGG-ARIT,-2.92756
AGG-ARIT,-2.89095
AGG-ARIT,-2.95963
AGG-ARIT,-2.97623
AGG-ARIT,-3.00658
AGG-ARIT,-2.99992
AGG-ARIT,-3.22922
AGG-ARIT,-3.0578
AGG-ARIT,-2.84232
AGG-ARIT,-2.99843
AGG-ARIT,-2.90192
AGG-ARIT,-2.98073
AGG-ARIT,-3.08447
AGG-ARIT,-2.89347
AGG-ARIT,-3.08347
AGG-ARIT,-3.00011
AGG-ARIT,-2.89728
AGG-ARIT,-2.92867
AGG-ARIT,-2.97184
AGG-ARIT,-3.01202
AGG-ARIT,-2.9634
AGG-ARIT,-2.96124
AGG-ARIT,-3.17571
AGG-ARIT,-2.93377
AGG-ARIT,-3.06146
AGG-ARIT,-2.92318
AGG-ARIT,-2.90555
AGG-ARIT,-3.1729
AGG-ARIT,-2.92238
AGG-ARIT,-2.97518
AGG-ARIT,-2.95098
AGG-BLX,-2.7948
AGG-BLX,-2.74932
AGG-BLX,-2.82091
AGG-BLX,-2.89708
AGG-BLX,-2.78575
AGG-BLX,-2.79607
AGG-BLX,-2.78643
AGG-BLX,-2.75832
AGG-BLX,-2.729
AGG-BLX,-2.79066
AGG-BLX,-2.78308
AGG-BLX,-2.81491
AGG-BLX,-2.78772
AGG-BLX,-2.76523
AGG-BLX,-2.84684
AGG-BLX,-2.80185
AGG-BLX,-2.81213
AGG-BLX,-2.82682
AGG-BLX,-2.84769
AGG-BLX,-2.83618
AGG-BLX,-2.74144
AGG-BLX,-2.7943
AGG-BLX,-2.79626
AGG-BLX,-2.85573
AGG-BLX,-2.84041
AGG-BLX,-2.94913
AGG-BLX,-2.91812
AGG-BLX,-2.82047
AGG-BLX,-2.75248
AGG-BLX,-2.80246
AGG-BLX,-2.89234
AGG-BLX,-2.83168
AGG-BLX,-2.7367
AGG-BLX,-2.86527
AGG-BLX,-2.85978
AGG-BLX,-2.79634
AGG-BLX,-2.79484
AGG-BLX,-2.77115
AGG-BLX,-2.71197
AGG-BLX,-2.81179
AGG-BLX,-2.80083
AGG-BLX,-2.85445
AGG-BLX,-2.79333
AGG-BLX,-2.75884
AGG-BLX,-2.83739
AGG-BLX,-2.8059
AGG-BLX,-2.79698
AGG-BLX,-2.83519
AGG-BLX,-2.66356
AGG-BLX,-2.74581
AGE-ARIT,-3.24643
AGE-ARIT,-3.18161
AGE-ARIT,-3.31723
AGE-ARIT,-3.21696
AGE-ARIT,-3.19978
AGE-ARIT,-3.21335
AGE-ARIT,-3.13394
AGE-ARIT,-3.15062
AGE-ARIT,-3.237
AGE-ARIT,-3.33218
AGE-ARIT,-3.26533
AGE-ARIT,-3.20444
AGE-ARIT,-3.33508
AGE-ARIT,-3.17332
AGE-ARIT,-3.25556
AGE-ARIT,-3.36269
AGE-ARIT,-3.24056
AGE-ARIT,-3.37663
AGE-ARIT,-3.31521
AGE-ARIT,-3.20499
AGE-ARIT,-3.1182
AGE-ARIT,-3.19093
AGE-ARIT,-3.17345
AGE-ARIT,-3.29271
AGE-ARIT,-3.16839
AGE-ARIT,-3.27258
AGE-ARIT,-3.08181
AGE-ARIT,-3.10457
AGE-ARIT,-3.219
AGE-ARIT,-3.34862
AGE-ARIT,-3.19365
AGE-ARIT,-3.22892
AGE-ARIT,-3.10913
AGE-ARIT,-3.17987
AGE-ARIT,-3.15138
AGE-ARIT,-2.98538
AGE-ARIT,-3.253
AGE-ARIT,-3.2811
AGE-ARIT,-3.39082
AGE-ARIT,-3.23648
AGE-ARIT,-3.16087
AGE-ARIT,-3.13583
AGE-ARIT,-3.12325
AGE-ARIT,-3.25334
AGE-ARIT,-3.28358
AGE-ARIT,-3.2408
AGE-ARIT,-3.15129
AGE-ARIT,-3.04483
AGE-ARIT,-3.15241
AGE-ARIT,-3.2169
AGE-BLX,-3.12629
AGE-BLX,-2.97663
AGE-BLX,-3.024
AGE-BLX,-3.09638
AGE-BLX,-2.98778
AGE-BLX,-3.12071
AGE-BLX,-3.09081
AGE-BLX,-3.01634
AGE-BLX,-3.03785
AGE-BLX,-3.06327
AGE-BLX,-3.1536
AGE-BLX,-3.029
AGE-BLX,-3.11026
AGE-BLX,-3.05316
AGE-BLX,-3.10491
AGE-BLX,-3.02817
AGE-BLX,-3.01565
AGE-BLX,-3.1214
AGE-BLX,-3.13625
AGE-BLX,-2.96058
AGE-BLX,-2.87725
AGE-BLX,-2.98835
AGE-BLX,-3.02413
AGE-BLX,-3.00357
AGE-BLX,-3.11763
AGE-BLX,-3.1216
AGE-BLX,-3.03168
AGE-BLX,-3.02025
AGE-BLX,-3.10383
AGE-BLX,-3.17324
AGE-BLX,-3.15052
AGE-BLX,-2.98722
AGE-BLX,-2.88367
AGE-BLX,-3.06095
AGE-BLX,-3.06543
AGE-BLX,-3.04152
AGE-BLX,-3.06208
AGE-BLX,-3.15622
AGE-BLX,-3.08409
AGE-BLX,-3.12379
AGE-BLX,-3.09145
AGE-BLX,-3.01425
AGE-BLX,-3.07978
AGE-BLX,-3.12483
AGE-BLX,-3.05264
AGE-BLX,-3.01253
AGE-BLX,-3.06262
AGE-BLX,-2.98251
AGE-BLX,-3.10247
AGE-BLX,-2.94895
AM-ALL,-3.2532
AM-ALL,-3.17124
AM-ALL,-3.25567
AM-ALL,-3.17577
AM-ALL,-3.23497
AM-ALL,-3.14696
AM-ALL,-3.25173
AM-ALL,-3.16513
AM-ALL,-3.25653
AM-ALL,-3.23812
AM-ALL,-3.23545
AM-ALL,-3.27644
AM-ALL,-3.24957
AM-ALL,-3.19719
AM-ALL,-3.22216
AM-ALL,-3.20385
AM-ALL,-3.19617
AM-ALL,-3.22552
AM-ALL,-3.2048
AM-ALL,-3.22517
AM-ALL,-3.17461
AM-ALL,-3.19033
AM-ALL,-3.17509
AM-ALL,-3.23068
AM-ALL,-3.20151
AM-ALL,-3.24281
AM-ALL,-3.22054
AM-ALL,-3.12356
AM-ALL,-3.16784
AM-ALL,-3.20373
AM-ALL,-3.27774
AM-ALL,-3.14576
AM-ALL,-3.14253
AM-ALL,-3.1767
AM-ALL,-3.18552
AM-ALL,-3.15498
AM-ALL,-3.26346
AM-ALL,-3.19238
AM-ALL,-3.221
AM-ALL,-3.22253
AM-ALL,-3.18731
AM-ALL,-3.16325
AM-ALL,-3.12453
AM-ALL,-3.19049
AM-ALL,-3.2319
AM-ALL,-3.15343
AM-ALL,-3.22412
AM-ALL,-3.22009
AM-ALL,-3.11917
AM-ALL,-3.26492
AM-RAND,-2.70574
AM-RAND,-2.79874
AM-RAND,-2.73448
AM-RAND,-2.74374
AM-RAND,-2.69127
AM-RAND,-2.7434
AM-RAND,-2.72787
AM-RAND,-2.70063
AM-RAND,-2.73866
AM-RAND,-2.77701
AM-RAND,-2.69192
AM-RAND,-2.70954
AM-RAND,-2.79708
AM-RAND,-2.70054
AM-RAND,-2.77645
AM-RAND,-2.68566
AM-RAND,-2.75538
AM-RAND,-2.75776
AM-RAND,-2.69638
AM-RAND,-2.73335
AM-RAND,-2.74104
AM-RAND,-2.70771
AM-RAND,-2.72825
AM-RAND,-2.76145
AM-RAND,-2.73678
AM-RAND,-2.74848
AM-RAND,-2.76503
AM-RAND,-2.72825
AM-RAND,-2.76373
AM-RAND,-2.71835
AM-RAND,-2.74552
AM-RAND,-2.71831
AM-RAND,-2.72578
AM-RAND,-2.6987
AM-RAND,-2.69471
AM-RAND,-2.69821
AM-RAND,-2.74961
AM-RAND,-2.69159
AM-RAND,-2.69714
AM-RAND,-2.78834
AM-RAND,-2.77552
AM-RAND,-2.71177
AM-RAND,-2.70434
AM-RAND,-2.76406
AM-RAND,-2.75489
AM-RAND,-2.69345
AM-RAND,-2.73888
AM-RAND,-2.79349
AM-RAND,-2.67017
AM-RAND,-2.75615
AM-BEST,-2.75295
AM-BEST,-2.76996
AM-BEST,-2.76213
AM-BEST,-2.74039
AM-BEST,-2.72606
AM-BEST,-2.69537
AM-BEST,-2.70721
AM-BEST,-2.72661
AM-BEST,-2.77681
AM-BEST,-2.76707
AM-BEST,-2.69776
AM-BEST,-2.7765
AM-BEST,-2.85004
AM-BEST,-2.70308
AM-BEST,-2.74632
AM-BEST,-2.72113
AM-BEST,-2.73975
AM-BEST,-2.7282
AM-BEST,-2.70481
AM-BEST,-2.73966
AM-BEST,-2.78565
AM-BEST,-2.68337
AM-BEST,-2.74234
AM-BEST,-2.72995
AM-BEST,-2.74915
AM-BEST,-2.67467
AM-BEST,-2.77468
AM-BEST,-2.77648
AM-BEST,-2.718
AM-BEST,-2.68678
AM-BEST,-2.75432
AM-BEST,-2.72739
AM-BEST,-2.70351
AM-BEST,-2.70546
AM-BEST,-2.73666
AM-BEST,-2.68701
AM-BEST,-2.77292
AM-BEST,-2.6725
AM-BEST,-2.69147
AM-BEST,-2.77585
AM-BEST,-2.76006
AM-BEST,-2.70105
AM-BEST,-2.71328
AM-BEST,-2.76744
AM-BEST,-2.74345
AM-BEST,-2.7155
AM-BEST,-2.76855
AM-BEST,-2.77132
AM-BEST,-2.66659
AM-BEST,-2.77454
AGG-GAUSS,-2.84943
AGG-GAUSS,-2.83939
AGG-GAUSS,-2.89003
AGG-GAUSS,-2.94213
AGG-GAUSS,-2.9321
AGG-GAUSS,-2.83571
AGG-GAUSS,-2.98495
AGG-GAUSS,-2.93067
AGG-GAUSS,-2.90453
AGG-GAUSS,-2.84615
AGG-GAUSS,-2.93744
AGG-GAUSS,-2.95312
AGG-GAUSS,-3.08586
AGG-GAUSS,-2.91698
AGG-GAUSS,-2.94925
AGG-GAUSS,-2.90693
AGG-GAUSS,-2.95125
AGG-GAUSS,-2.88088
AGG-GAUSS,-3.02338
AGG-GAUSS,-2.96344
AGG-GAUSS,-2.85835
AGG-GAUSS,-2.82873
AGG-GAUSS,-2.89195
AGG-GAUSS,-2.9891
AGG-GAUSS,-2.94488
AGG-GAUSS,-2.97838
AGG-GAUSS,-2.8975
AGG-GAUSS,-2.85548
AGG-GAUSS,-2.89252
AGG-GAUSS,-2.9024
AGG-GAUSS,-2.95986
AGG-GAUSS,-2.89628
AGG-GAUSS,-2.85299
AGG-GAUSS,-2.97883
AGG-GAUSS,-2.97411
AGG-GAUSS,-2.89339
AGG-GAUSS,-2.97101
AGG-GAUSS,-2.83901
AGG-GAUSS,-3.04405
AGG-GAUSS,-2.9574
AGG-GAUSS,-2.86167
AGG-GAUSS,-2.96187
AGG-GAUSS,-2.91262
AGG-GAUSS,-2.87181
AGG-GAUSS,-2.94712
AGG-GAUSS,-2.87685
AGG-GAUSS,-2.93661
AGG-GAUSS,-2.91088
AGG-GAUSS,-2.89069
AGG-GAUSS,-2.90491
AM-LSCH,-2.7876
AM-LSCH,-2.82472
AM-LSCH,-2.83291
AM-LSCH,-2.78024
AM-LSCH,-2.81972
AM-LSCH,-2.71007
AM-LSCH,-2.78107
AM-LSCH,-2.73403
AM-LSCH,-2.81495
AM-LSCH,-2.74568
AM-LSCH,-2.7354
AM-LSCH,-2.69781
AM-LSCH,-2.85118
AM-LSCH,-2.81481
AM-LSCH,-2.76678
AM-LSCH,-2.76363
AM-LSCH,-2.74476
AM-LSCH,-2.74603
AM-LSCH,-2.70239
AM-LSCH,-2.73415
AM-LSCH,-2.72594
AM-LSCH,-2.78259
AM-LSCH,-2.76453
AM-LSCH,-2.79306
AM-LSCH,-2.76663
AM-LSCH,-2.70073
AM-LSCH,-2.76479
AM-LSCH,-2.72321
AM-LSCH,-2.72121
AM-LSCH,-2.67504
AM-LSCH,-2.78263
AM-LSCH,-2.7429
AM-LSCH,-2.75263
AM-LSCH,-2.77109
AM-LSCH,-2.76193
AM-LSCH,-2.67634
AM-LSCH,-2.78103
AM-LSCH,-2.75384
AM-LSCH,-2.71073
AM-LSCH,-2.82818
AM-LSCH,-2.78795
AM-LSCH,-2.71481
AM-LSCH,-2.84248
AM-LSCH,-2.72701
AM-LSCH,-2.76837
AM-LSCH,-2.71213
AM-LSCH,-2.78446
AM-LSCH,-2.85238
