funcid,dim,milestone,error
10,50,1,1.386440e+04
10,50,2,1.163601e+04
10,50,3,1.094746e+04
10,50,5,9.819521e+03
10,50,10,8.911846e+03
10,50,20,8.587561e+03
10,50,30,8.341309e+03
10,50,40,8.102222e+03
10,50,50,7.928685e+03
10,50,60,7.773508e+03
10,50,70,7.621618e+03
10,50,80,7.428874e+03
10,50,90,7.282860e+03
10,50,100,7.146133e+03
10,50,1,1.346733e+04
10,50,2,1.206709e+04
10,50,3,1.106584e+04
10,50,5,1.003147e+04
10,50,10,9.344463e+03
10,50,20,8.782825e+03
10,50,30,8.616448e+03
10,50,40,8.424430e+03
10,50,50,8.256767e+03
10,50,60,8.122874e+03
10,50,70,7.885041e+03
10,50,80,7.593050e+03
10,50,90,7.504551e+03
10,50,100,7.366529e+03
10,50,1,1.200459e+04
10,50,2,1.102971e+04
10,50,3,1.028917e+04
10,50,5,9.620043e+03
10,50,10,9.482353e+03
10,50,20,9.188147e+03
10,50,30,8.951513e+03
10,50,40,8.684750e+03
10,50,50,8.492566e+03
10,50,60,8.304157e+03
10,50,70,8.134995e+03
10,50,80,7.947202e+03
10,50,90,7.773540e+03
10,50,100,7.521927e+03
10,50,1,1.383045e+04
10,50,2,1.192140e+04
10,50,3,1.109692e+04
10,50,5,9.683706e+03
10,50,10,9.447882e+03
10,50,20,9.316529e+03
10,50,30,9.047246e+03
10,50,40,8.879812e+03
10,50,50,8.704518e+03
10,50,60,8.607863e+03
10,50,70,8.451912e+03
10,50,80,8.202071e+03
10,50,90,7.980203e+03
10,50,100,7.864083e+03
10,50,1,1.364472e+04
10,50,2,1.188587e+04
10,50,3,1.046503e+04
10,50,5,9.755045e+03
10,50,10,9.250282e+03
10,50,20,9.000035e+03
10,50,30,8.836835e+03
10,50,40,8.605345e+03
10,50,50,8.402111e+03
10,50,60,8.214284e+03
10,50,70,8.044326e+03
10,50,80,7.866216e+03
10,50,90,7.719551e+03
10,50,100,7.630092e+03
10,50,1,1.284176e+04
10,50,2,1.192784e+04
10,50,3,1.136196e+04
10,50,5,1.047051e+04
10,50,10,9.462496e+03
10,50,20,9.187444e+03
10,50,30,9.013412e+03
10,50,40,8.817636e+03
10,50,50,8.685126e+03
10,50,60,8.551808e+03
10,50,70,8.390731e+03
10,50,80,8.249307e+03
10,50,90,8.132990e+03
10,50,100,8.007384e+03
10,50,1,1.213994e+04
10,50,2,1.111458e+04
10,50,3,9.697370e+03
10,50,5,9.569819e+03
10,50,10,8.707981e+03
10,50,20,8.465600e+03
10,50,30,8.290626e+03
10,50,40,8.165841e+03
10,50,50,7.968732e+03
10,50,60,7.830125e+03
10,50,70,7.691638e+03
10,50,80,7.495484e+03
10,50,90,7.336865e+03
10,50,100,7.199385e+03
10,50,1,1.340593e+04
10,50,2,1.214392e+04
10,50,3,1.116323e+04
10,50,5,9.831280e+03
10,50,10,8.865349e+03
10,50,20,8.697655e+03
10,50,30,8.542958e+03
10,50,40,8.341554e+03
10,50,50,8.194406e+03
10,50,60,8.048489e+03
10,50,70,7.948916e+03
10,50,80,7.826479e+03
10,50,90,7.714398e+03
10,50,100,7.482710e+03
10,50,1,1.391195e+04
10,50,2,1.193890e+04
10,50,3,1.071405e+04
10,50,5,9.654562e+03
10,50,10,8.841211e+03
10,50,20,8.608552e+03
10,50,30,8.337346e+03
10,50,40,8.215385e+03
10,50,50,8.087860e+03
