funcid,dim,milestone,error
1,30,1,6.373060e+10
1,30,2,5.126434e+10
1,30,3,4.259002e+10
1,30,5,3.272739e+10
1,30,10,2.815920e+10
1,30,20,2.052549e+10
1,30,30,2.028270e+10
1,30,40,2.023611e+10
1,30,50,2.009719e+10
1,30,60,2.002422e+10
1,30,70,1.992186e+10
1,30,80,1.988339e+10
1,30,90,1.973562e+10
1,30,100,1.964129e+10
1,30,1,5.171097e+10
1,30,2,4.459975e+10
1,30,3,3.541703e+10
1,30,5,2.039338e+10
1,30,10,1.775451e+10
1,30,20,1.588661e+10
1,30,30,1.572616e+10
1,30,40,1.554268e+10
1,30,50,1.546726e+10
1,30,60,1.534589e+10
1,30,70,1.526375e+10
1,30,80,1.515155e+10
1,30,90,1.504850e+10
1,30,100,1.493619e+10
1,30,1,6.946860e+10
1,30,2,5.812293e+10
1,30,3,4.375339e+10
1,30,5,2.745308e+10
1,30,10,1.931821e+10
1,30,20,1.624610e+10
1,30,30,1.554902e+10
1,30,40,1.550486e+10
1,30,50,1.542143e+10
1,30,60,1.534433e+10
1,30,70,1.530202e+10
1,30,80,1.512897e+10
1,30,90,1.503340e+10
1,30,100,1.497137e+10
1,30,1,6.446736e+10
1,30,2,5.083823e+10
1,30,3,3.680488e+10
1,30,5,2.798692e+10
1,30,10,2.560088e+10
1,30,20,2.014677e+10
1,30,30,1.993155e+10
1,30,40,1.979626e+10
1,30,50,1.973468e+10
1,30,60,1.965040e+10
1,30,70,1.956802e+10
1,30,80,1.923289e+10
1,30,90,1.916198e+10
1,30,100,1.909156e+10
1,30,1,6.447257e+10
1,30,2,5.073410e+10
1,30,3,4.808369e+10
1,30,5,2.737726e+10
1,30,10,2.501920e+10
1,30,20,1.764737e+10
1,30,30,1.751329e+10
1,30,40,1.742897e+10
1,30,50,1.734096e+10
1,30,60,1.726929e+10
1,30,70,1.720311e+10
1,30,80,1.703066e+10
1,30,90,1.699273e+10
1,30,100,1.688583e+10
1,30,1,6.218534e+10
1,30,2,4.328099e+10
1,30,3,2.920077e+10
1,30,5,2.439692e+10
1,30,10,2.203188e+10
1,30,20,1.492709e+10
1,30,30,1.378385e+10
1,30,40,1.300069e+10
1,30,50,1.287247e+10
1,30,60,1.281845e+10
1,30,70,1.272918e+10
1,30,80,1.264410e+10
1,30,90,1.251991e+10
1,30,100,1.231479e+10
1,30,1,6.078934e+10
1,30,2,5.718806e+10
1,30,3,5.047171e+10
1,30,5,2.264209e+10
1,30,10,1.827233e+10
1,30,20,1.516495e+10
1,30,30,1.435391e+10
1,30,40,1.426395e+10
1,30,50,1.424070e+10
1,30,60,1.414399e+10
1,30,70,1.408043e+10
1,30,80,1.399423e+10
1,30,90,1.394288e+10
1,30,100,1.385189e+10
1,30,1,7.033628e+10
1,30,2,5.811086e+10
1,30,3,4.250138e+10
1,30,5,3.180126e+10
1,30,10,1.833874e+10
1,30,20,1.675642e+10
1,30,30,1.660568e+10
1,30,40,1.649367e+10
1,30,50,1.640208e+10
1,30,60,1.630287e+10
1,30,70,1.620234e+10
1,30,80,1.612742e+10
1,30,90,1.608345e+10
1,30,100,1.596875e+10
1,30,1,7.101263e+10
1,30,2,6.124293e+10
1,30,3,4.141624e+10
1,30,5,2.375053e+10
1,30,10,1.803902e+10
1,30,20,1.444850e+10
1,30,30,1.429042e+10
1,30,40,1.413477e+10
1,30,50,1.405042e+10
1,30,60,1.379341e+10
1,30,70,1.375102e+10
1,30,80,1.368164e+10
1,30,90,1.346093e+10
1,30,100,1.339265e+10
1,30,1,6.305391e+10
1,30,2,5.290148e+10
1,30,3,3.614737e+10
1,30,5,3.240728e+10
1,30,10,2.122213e+10
1,30,20,1.981397e+10
1,30,30,1.961238e+10
1,30,40,1.951115e+10
1,30,50,1.940421e+10
1,30,60,1.932899e+10
1,30,70,1.925604e+10
1,30,80,1.915714e+10
1,30,90,1.910181e+10
1,30,100,1.879556e+10
1,30,1,6.157156e+10
1,30,2,3.385992e+10
1,30,3,3.235510e+10
1,30,5,2.843338e+10
1,30,10,1.629913e+10
1,30,20,1.582126e+10
1,30,30,1.572400e+10
1,30,40,1.559970e+10
1,30,50,1.553480e+10
1,30,60,1.544090e+10
1,30,70,1.531450e+10
1,30,80,1.518803e+10
1,30,90,1.485140e+10
1,30,100,1.476980e+10
1,30,1,5.005663e+10
1,30,2,3.205469e+10
1,30,3,2.439332e+10
1,30,5,1.986966e+10
1,30,10,1.688846e+10
1,30,20,1.474470e+10
