alg,fitness
LOCALSEARCHMULTI,-4.57083
LOCALSEARCHMULTI,-4.56505
LOCALSEARCHMULTI,-4.54549
LOCALSEARCHMULTI,-4.55202
LOCALSEARCHMULTI,-4.55003
LOCALSEARCHMULTI,-4.55961
LOCALSEARCHMULTI,-4.58343
LOCALSEARCHMULTI,-4.57609
LOCALSEARCHMULTI,-4.5473
LOCALSEARCHMULTI,-4.53026
LOCALSEARCHMULTI,-4.5921
LOCALSEARCHMULTI,-4.54681
LOCALSEARCHMULTI,-4.54397
LOCALSEARCHMULTI,-4.58935
LOCALSEARCHMULTI,-4.56597
LOCALSEARCHMULTI,-4.53689
LOCALSEARCHMULTI,-4.59317
LOCALSEARCHMULTI,-4.57332
LOCALSEARCHMULTI,-4.57503
LOCALSEARCHMULTI,-4.60182
LOCALSEARCHMULTI,-4.5657
LOCALSEARCHMULTI,-4.56749
AGG-ARIT,-4.73194
AGG-ARIT,-4.74226
AGG-ARIT,-4.68484
AGG-ARIT,-4.59446
AGG-ARIT,-4.71579
AGG-ARIT,-4.68177
AGG-ARIT,-4.65203
AGG-ARIT,-4.7282
AGG-ARIT,-4.73793
AGG-ARIT,-4.65463
AGG-ARIT,-4.64443
AGG-ARIT,-4.60487
AGG-ARIT,-4.65564
AGG-ARIT,-4.70097
AGG-ARIT,-4.64846
AGG-ARIT,-4.77297
AGG-ARIT,-4.67297
AGG-ARIT,-4.71109
AGG-ARIT,-4.72743
AGG-ARIT,-4.64551
AGG-ARIT,-4.70665
AGG-ARIT,-4.63081
AGG-ARIT,-4.63659
AGG-ARIT,-4.64755
AGG-ARIT,-4.69848
AGG-ARIT,-4.74066
AGG-ARIT,-4.72643
AGG-ARIT,-4.6211
AGG-ARIT,-4.61623
AGG-ARIT,-4.59349
AGG-ARIT,-4.62517
AGG-ARIT,-4.69784
AGG-ARIT,-4.62758
AGG-ARIT,-4.707
AGG-ARIT,-4.69576
AGG-ARIT,-4.71288
AGG-ARIT,-4.65829
AGG-ARIT,-4.77627
AGG-ARIT,-4.6856
AGG-ARIT,-4.65481
AGG-ARIT,-4.76222
AGG-ARIT,-4.77338
AGG-ARIT,-4.70526
AGG-ARIT,-4.60685
AGG-ARIT,-4.56504
AGG-ARIT,-4.72913
AGG-ARIT,-4.58654
AGG-ARIT,-4.60726
AGG-ARIT,-4.66288
AGG-ARIT,-4.67517
AGG-BLX,-4.50873
AGG-BLX,-4.50821
AGG-BLX,-4.4905
AGG-BLX,-4.49761
AGG-BLX,-4.49192
AGG-BLX,-4.50412
AGG-BLX,-4.49359
AGG-BLX,-4.50068
AGG-BLX,-4.51687
AGG-BLX,-4.49177
AGG-BLX,-4.49137
AGG-BLX,-4.50642
AGG-BLX,-4.49107
AGG-BLX,-4.49195
AGG-BLX,-4.4944
AGG-BLX,-4.50134
AGG-BLX,-4.52877
AGG-BLX,-4.49096
AGG-BLX,-4.49504
AGG-BLX,-4.49714
AGG-BLX,-4.49248
AGG-BLX,-4.4911
AGG-BLX,-4.49819
AGG-BLX,-4.50235
AGG-BLX,-4.49042
AGG-BLX,-4.4936
AGG-BLX,-4.50309
AGG-BLX,-4.50955
AGG-BLX,-4.49252
AGG-BLX,-4.49192
AGG-BLX,-4.49163
AGG-BLX,-4.50003
AGG-BLX,-4.49222
AGG-BLX,-4.49234
AGG-BLX,-4.49802
AGG-BLX,-4.49446
AGG-BLX,-4.49676
AGG-BLX,-4.49532
AGG-BLX,-4.49042
AGG-BLX,-4.49317
AGG-BLX,-4.49755
AGG-BLX,-4.50653
AGG-BLX,-4.4961
AGG-BLX,-4.49353
