alg,fitness
LOCALSEARCHMULTI,-3.08283
LOCALSEARCHMULTI,-2.95319
LOCALSEARCHMULTI,-3.12964
LOCALSEARCHMULTI,-3.0591
LOCALSEARCHMULTI,-2.99214
LOCALSEARCHMULTI,-3.11079
LOCALSEARCHMULTI,-3.03335
LOCALSEARCHMULTI,-2.99176
LOCALSEARCHMULTI,-3.21639
LOCALSEARCHMULTI,-3.00007
LOCALSEARCHMULTI,-3.01363
LOCALSEARCHMULTI,-2.9987
LOCALSEARCHMULTI,-2.98287
LOCALSEARCHMULTI,-3.04125
LOCALSEARCHMULTI,-3.01653
LOCALSEARCHMULTI,-3.07409
LOCALSEARCHMULTI,-2.96317
LOCALSEARCHMULTI,-3.03038
LOCALSEARCHMULTI,-3.01578
LOCALSEARCHMULTI,-3.06463
LOCALSEARCHMULTI,-3.05227
LOCALSEARCHMULTI,-2.9996
AGG-ARIT,-3.07767
AGG-ARIT,-3.12819
AGG-ARIT,-3.11337
AGG-ARIT,-3.14488
AGG-ARIT,-3.06667
AGG-ARIT,-3.08953
AGG-ARIT,-3.14091
AGG-ARIT,-3.09313
AGG-ARIT,-3.11941
AGG-ARIT,-3.09836
AGG-ARIT,-3.10459
AGG-ARIT,-3.10915
AGG-ARIT,-3.15605
AGG-ARIT,-3.11404
AGG-ARIT,-3.11963
AGG-ARIT,-3.16538
AGG-ARIT,-3.16501
AGG-ARIT,-3.14145
AGG-ARIT,-3.19651
AGG-ARIT,-3.08147
AGG-ARIT,-3.0919
AGG-ARIT,-3.11606
AGG-ARIT,-3.14766
AGG-ARIT,-3.16347
AGG-ARIT,-3.11078
AGG-ARIT,-3.2053
AGG-ARIT,-3.13448
AGG-ARIT,-3.0394
AGG-ARIT,-3.1056
AGG-ARIT,-3.12995
AGG-ARIT,-3.16003
AGG-ARIT,-3.15315
AGG-ARIT,-3.09736
AGG-ARIT,-3.12015
AGG-ARIT,-3.15104
AGG-ARIT,-3.16103
AGG-ARIT,-3.18923
AGG-ARIT,-3.16106
AGG-ARIT,-3.10868
AGG-ARIT,-3.13613
AGG-ARIT,-3.15408
AGG-ARIT,-3.21726
AGG-ARIT,-3.13737
AGG-ARIT,-3.03997
AGG-ARIT,-3.16185
