funcid,dim,milestone,error
5,30,1,4.013998e+02
5,30,2,3.454207e+02
5,30,3,2.876138e+02
5,30,5,2.362247e+02
5,30,10,2.036670e+02
5,30,20,1.999884e+02
5,30,30,1.999854e+02
5,30,40,1.999853e+02
5,30,50,1.999853e+02
5,30,60,1.999853e+02
5,30,70,1.999853e+02
5,30,80,1.999853e+02
5,30,90,1.999853e+02
5,30,100,1.999853e+02
5,30,1,3.491852e+02
5,30,2,2.737129e+02
5,30,3,2.456253e+02
5,30,5,2.064209e+02
5,30,10,1.904791e+02
5,30,20,1.669734e+02
5,30,30,1.661594e+02
5,30,40,1.661574e+02
5,30,50,1.661574e+02
5,30,60,1.661574e+02
5,30,70,1.661574e+02
5,30,80,1.661574e+02
5,30,90,1.661574e+02
5,30,100,1.661574e+02
5,30,1,3.564163e+02
5,30,2,3.158681e+02
5,30,3,2.892846e+02
5,30,5,2.741095e+02
5,30,10,2.441993e+02
5,30,20,2.240526e+02
5,30,30,2.238650e+02
5,30,40,2.238640e+02
5,30,50,2.238640e+02
5,30,60,2.238640e+02
5,30,70,2.238640e+02
5,30,80,2.238640e+02
5,30,90,2.238640e+02
5,30,100,2.238640e+02
5,30,1,3.541678e+02
5,30,2,3.043830e+02
5,30,3,2.632118e+02
5,30,5,2.190824e+02
5,30,10,2.084146e+02
5,30,20,1.606913e+02
5,30,30,1.601898e+02
5,30,40,1.601878e+02
5,30,50,1.601877e+02
5,30,60,1.601877e+02
5,30,70,1.601877e+02
5,30,80,1.601877e+02
5,30,90,1.601877e+02
5,30,100,1.601877e+02
5,30,1,3.811395e+02
5,30,2,2.962668e+02
5,30,3,2.581133e+02
5,30,5,2.290016e+02
5,30,10,2.151819e+02
5,30,20,1.820959e+02
5,30,30,1.603572e+02
5,30,40,1.601883e+02
5,30,50,1.601877e+02
5,30,60,1.601877e+02
5,30,70,1.601877e+02
5,30,80,1.601877e+02
5,30,90,1.601877e+02
5,30,100,1.601877e+02
5,30,1,3.474492e+02
5,30,2,2.875038e+02
5,30,3,2.555712e+02
5,30,5,2.292684e+02
5,30,10,2.172673e+02
5,30,20,2.169016e+02
5,30,30,2.168997e+02
5,30,40,2.168996e+02
5,30,50,2.168996e+02
5,30,60,2.168996e+02
5,30,70,2.168996e+02
5,30,80,2.168996e+02
5,30,90,2.168996e+02
5,30,100,2.168996e+02
5,30,1,3.997011e+02
5,30,2,3.213531e+02
5,30,3,2.747939e+02
5,30,5,2.177786e+02
5,30,10,1.897929e+02
5,30,20,1.890423e+02
5,30,30,1.890411e+02
5,30,40,1.890411e+02
5,30,50,1.890411e+02
5,30,60,1.621295e+02
5,30,70,1.611850e+02
5,30,80,1.611824e+02
5,30,90,1.611824e+02
5,30,100,1.611824e+02
5,30,1,3.402320e+02
5,30,2,2.891840e+02
5,30,3,2.697973e+02
5,30,5,2.470353e+02
5,30,10,2.381276e+02
5,30,20,2.377943e+02
5,30,30,2.377930e+02
5,30,40,2.377929e+02
5,30,50,2.377929e+02
5,30,60,2.377929e+02
5,30,70,2.076392e+02
5,30,80,2.019850e+02
5,30,90,2.019748e+02
5,30,100,2.019747e+02
5,30,1,3.227664e+02
5,30,2,2.593505e+02
5,30,3,2.397552e+02
5,30,5,2.268627e+02
5,30,10,2.197496e+02
5,30,20,1.812534e+02
5,30,30,1.810815e+02
5,30,40,1.810811e+02
5,30,50,1.810811e+02
5,30,60,1.810811e+02
5,30,70,1.810811e+02
5,30,80,1.810811e+02
5,30,90,1.810811e+02
5,30,100,1.810811e+02
5,30,1,3.263642e+02
5,30,2,2.954280e+02
5,30,3,2.686261e+02
5,30,5,2.376633e+02
5,30,10,2.188070e+02
5,30,20,1.972903e+02
5,30,30,1.960079e+02
5,30,40,1.960059e+02
5,30,50,1.960058e+02
5,30,60,1.960058e+02
5,30,70,1.960058e+02
5,30,80,1.960058e+02
5,30,90,1.960058e+02
5,30,100,1.960058e+02
5,30,1,3.417190e+02
5,30,2,2.907553e+02
5,30,3,2.704678e+02
5,30,5,2.180940e+02
5,30,10,1.928278e+02
5,30,20,1.920285e+02
5,30,30,1.920259e+02
5,30,40,1.920259e+02
5,30,50,1.920259e+02
5,30,60,1.920259e+02
5,30,70,1.920259e+02
5,30,80,1.920259e+02
5,30,90,1.920259e+02
5,30,100,1.920259e+02
5,30,1,3.758575e+02
5,30,2,3.411194e+02
5,30,3,3.011493e+02
5,30,5,2.621288e+02
5,30,10,2.256600e+02
5,30,20,2.228766e+02
5,30,30,2.228688e+02
5,30,40,2.228687e+02
5,30,50,2.228687e+02
5,30,60,2.228687e+02
5,30,70,2.228687e+02
5,30,80,2.228687e+02
5,30,90,2.228687e+02
5,30,100,1.881419e+02
5,30,1,3.840858e+02
5,30,2,2.817175e+02
5,30,3,2.522706e+02
5,30,5,2.349532e+02
5,30,10,2.046885e+02
5,30,20,1.563333e+02
5,30,30,1.562078e+02
5,30,40,1.562075e+02
5,30,50,1.562075e+02
5,30,60,1.562075e+02
5,30,70,1.562075e+02
5,30,80,1.562075e+02
5,30,90,1.562075e+02
5,30,100,1.562075e+02
5,30,1,3.573595e+02
5,30,2,3.061975e+02
5,30,3,2.775389e+02
5,30,5,2.534819e+02
5,30,10,2.339425e+02
5,30,20,1.592366e+02
5,30,30,1.591924e+02
