funcid,dim,milestone,error
16,50,1,6.993527e+03
16,50,2,5.381013e+03
16,50,3,4.303481e+03
16,50,5,3.636638e+03
16,50,10,2.917612e+03
16,50,20,2.416122e+03
16,50,30,2.267353e+03
16,50,40,2.198766e+03
16,50,50,2.162092e+03
16,50,60,2.142788e+03
16,50,70,2.128178e+03
16,50,80,2.118012e+03
16,50,90,2.109798e+03
16,50,100,2.102950e+03
16,50,1,5.559586e+03
16,50,2,4.103672e+03
16,50,3,3.040939e+03
16,50,5,2.756348e+03
16,50,10,2.679581e+03
16,50,20,2.594512e+03
16,50,30,2.549956e+03
16,50,40,2.521543e+03
16,50,50,2.514370e+03
16,50,60,2.508820e+03
16,50,70,2.506946e+03
16,50,80,2.505049e+03
16,50,90,2.503288e+03
16,50,100,2.502334e+03
16,50,1,5.455086e+03
16,50,2,4.533300e+03
16,50,3,3.857846e+03
16,50,5,3.498785e+03
16,50,10,3.331441e+03
16,50,20,3.211633e+03
16,50,30,3.165363e+03
16,50,40,3.105615e+03
16,50,50,3.059675e+03
16,50,60,2.973383e+03
16,50,70,2.899037e+03
16,50,80,2.844996e+03
16,50,90,2.763930e+03
16,50,100,2.681997e+03
16,50,1,6.165265e+03
16,50,2,5.465898e+03
16,50,3,5.256287e+03
16,50,5,4.258746e+03
16,50,10,3.187208e+03
16,50,20,2.689286e+03
16,50,30,2.503825e+03
16,50,40,2.420994e+03
16,50,50,2.385199e+03
16,50,60,2.366220e+03
16,50,70,2.353344e+03
16,50,80,2.343068e+03
16,50,90,2.335654e+03
16,50,100,2.329499e+03
16,50,1,5.624754e+03
16,50,2,4.294288e+03
16,50,3,4.151407e+03
16,50,5,3.035770e+03
16,50,10,2.533441e+03
16,50,20,2.259410e+03
16,50,30,2.155725e+03
16,50,40,2.099305e+03
16,50,50,2.062959e+03
16,50,60,2.036282e+03
16,50,70,2.016859e+03
16,50,80,2.003525e+03
16,50,90,1.991168e+03
16,50,100,1.984819e+03
16,50,1,5.806594e+03
16,50,2,3.883400e+03
16,50,3,3.466307e+03
16,50,5,2.867759e+03
16,50,10,2.200162e+03
16,50,20,1.764616e+03
16,50,30,1.611512e+03
16,50,40,1.558829e+03
16,50,50,1.532020e+03
16,50,60,1.517517e+03
16,50,70,1.507417e+03
16,50,80,1.500290e+03
16,50,90,1.494189e+03
16,50,100,1.488623e+03
16,50,1,7.595074e+03
16,50,2,6.248954e+03
16,50,3,5.508582e+03
16,50,5,5.332542e+03
16,50,10,4.977336e+03
16,50,20,3.520798e+03
16,50,30,3.009344e+03
16,50,40,2.713550e+03
16,50,50,2.583119e+03
16,50,60,2.501511e+03
16,50,70,2.415585e+03
16,50,80,2.358285e+03
16,50,90,2.302355e+03
16,50,100,2.276959e+03
16,50,1,4.485936e+03
16,50,2,3.712825e+03
16,50,3,3.604317e+03
16,50,5,3.120238e+03
16,50,10,2.865990e+03
16,50,20,2.641533e+03
16,50,30,2.525472e+03
16,50,40,2.456423e+03
16,50,50,2.416951e+03
16,50,60,2.390638e+03
16,50,70,2.370480e+03
16,50,80,2.355242e+03
16,50,90,2.343479e+03
16,50,100,2.323084e+03
16,50,1,5.474067e+03
16,50,2,4.861194e+03
16,50,3,3.782744e+03
16,50,5,3.510111e+03
16,50,10,2.469208e+03
16,50,20,2.376180e+03
16,50,30,2.336878e+03
16,50,40,2.317420e+03
16,50,50,2.294796e+03
16,50,60,2.283544e+03
16,50,70,2.269202e+03
16,50,80,2.259318e+03
16,50,90,2.246960e+03
16,50,100,2.234858e+03
16,50,1,7.564065e+03
16,50,2,5.285851e+03
16,50,3,4.937493e+03
16,50,5,3.921322e+03
16,50,10,2.323225e+03
16,50,20,1.942218e+03
16,50,30,1.819159e+03
16,50,40,1.756263e+03
16,50,50,1.717836e+03
16,50,60,1.691824e+03
16,50,70,1.673105e+03
16,50,80,1.658830e+03
16,50,90,1.650086e+03
16,50,100,1.642410e+03
16,50,1,6.249961e+03
16,50,2,4.622995e+03
16,50,3,4.369924e+03
16,50,5,2.601046e+03
16,50,10,2.185858e+03
16,50,20,2.165456e+03
16,50,30,2.131899e+03
16,50,40,2.119972e+03
16,50,50,2.098350e+03
16,50,60,2.088551e+03
16,50,70,2.083035e+03
16,50,80,2.070411e+03
16,50,90,2.059485e+03
16,50,100,2.051301e+03
16,50,1,5.247298e+03
16,50,2,2.690517e+03
16,50,3,2.598394e+03
16,50,5,2.452231e+03
16,50,10,2.326083e+03
16,50,20,2.201104e+03
16,50,30,2.135810e+03
16,50,40,2.104005e+03
16,50,50,2.085954e+03
16,50,60,2.077077e+03
16,50,70,2.070603e+03
16,50,80,2.065739e+03
16,50,90,2.063731e+03
16,50,100,2.061958e+03
16,50,1,4.590414e+03
16,50,2,3.790490e+03
16,50,3,3.572466e+03
16,50,5,2.965071e+03
16,50,10,2.166403e+03
16,50,20,1.852332e+03
16,50,30,1.709417e+03
16,50,40,1.593513e+03
16,50,50,1.554226e+03
16,50,60,1.527842e+03
16,50,70,1.511034e+03
16,50,80,1.501323e+03
16,50,90,1.494017e+03
16,50,100,1.487342e+03
16,50,1,7.147073e+03
16,50,2,5.771623e+03
16,50,3,4.463643e+03
16,50,5,4.227558e+03
16,50,10,3.061513e+03
16,50,20,2.706182e+03
16,50,30,2.622055e+03
16,50,40,2.604801e+03
16,50,50,2.591417e+03
16,50,60,2.576193e+03
16,50,70,2.561119e+03
16,50,80,2.553931e+03
16,50,90,2.536957e+03
16,50,100,2.527601e+03
16,50,1,5.033262e+03
16,50,2,3.521411e+03
16,50,3,3.411885e+03
16,50,5,2.636623e+03
16,50,10,2.162835e+03
16,50,20,1.773473e+03
16,50,30,1.601665e+03
16,50,40,1.527814e+03
16,50,50,1.494334e+03
16,50,60,1.470063e+03
16,50,70,1.456848e+03
16,50,80,1.445693e+03
16,50,90,1.435839e+03
16,50,100,1.428244e+03
16,50,1,6.080904e+03
16,50,2,4.347890e+03
16,50,3,3.900466e+03
16,50,5,3.409635e+03
16,50,10,2.743378e+03
16,50,20,2.266023e+03
16,50,30,2.111731e+03
16,50,40,2.045222e+03
16,50,50,2.009161e+03
16,50,60,1.982569e+03
16,50,70,1.963627e+03
16,50,80,1.949247e+03
16,50,90,1.936910e+03
16,50,100,1.928015e+03
16,50,1,7.673870e+03
16,50,2,4.767808e+03
16,50,3,3.721764e+03
16,50,5,3.497494e+03
16,50,10,3.365498e+03
16,50,20,3.078038e+03
16,50,30,2.934392e+03
16,50,40,2.869334e+03
16,50,50,2.836403e+03
16,50,60,2.818308e+03
16,50,70,2.804540e+03
16,50,80,2.794914e+03
16,50,90,2.787616e+03
16,50,100,2.781526e+03
16,50,1,4.975021e+03
16,50,2,4.481419e+03
16,50,3,4.089751e+03
16,50,5,3.585160e+03
16,50,10,3.063061e+03
16,50,20,2.697186e+03
16,50,30,2.561194e+03
16,50,40,2.503881e+03
16,50,50,2.472367e+03
16,50,60,2.452969e+03
16,50,70,2.441679e+03
16,50,80,2.433011e+03
16,50,90,2.425771e+03
16,50,100,2.421181e+03
16,50,1,6.618103e+03
16,50,2,5.052784e+03
16,50,3,4.670302e+03
16,50,5,3.459060e+03
16,50,10,2.095690e+03
16,50,20,1.588170e+03
16,50,30,1.434383e+03
16,50,40,1.366625e+03
16,50,50,1.334025e+03
16,50,60,1.312936e+03
16,50,70,1.297749e+03
16,50,80,1.283837e+03
16,50,90,1.275078e+03
